엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
필리핀,국가,생산,딸기,품목,시기:2024년
수출딸기,품목,생산,딸기,품목,품종:금실
수출딸기,품목,포장,포장,포장형태,박스/플라스틱 팩
수출딸기,품목,생산자,생산자,기업명,K-berry 등록 생산자
딸기,품목,수입,미국,국가,원산지:미국
딸기,품목,수입,필리핀,국가,원산지:필리핀
딸기,품목,대체품,딸기,품목,품종:금실
딸기,품목,수입,한국,국가,원산지:한국
딸기,품목,수입,일본,국가,원산지:일본
딸기,품목,생산,한국,국가,시기:12월~3월
딸기,품목,생산,일본,국가,시기:12월~4월
딸기,품목,포장,포장,포장형태,250g 또는 500g 플라스틱팩
딸기,품목,포장,포장,포장형태,1kg 이상 대형팩
딸기,품목,생산,현지산,국가,원산지:필리핀
딸기,품목,생산,한국산,국가,시기:11월말~5월
딸기,품목,생산,일본산,국가,시기:12월말~4월
한국산 딸기,품목,가격대,필리핀,국가,가격:600페소~800페소/kg
일본산 딸기,품목,가격대,필리핀,국가,가격:약2500페소/kg
한국산 딸기,품목,특징,품질,단맛,과형,크기
일본산 딸기,품목,특징,프리미엄,포장,포장디자인
수입산 딸기,품목,유통,유통경로,수출입절차,통관,서류:수입신고,세관검사,식물검역
한국산 딸기,품목,구매요인,유통업체,품질,신선도,가격
일본산 딸기,품목,구매요인,유통업체,품질,포장,신선도
한국산 딸기,품목,시장트렌드,고품질,당도,외관,브랜드신뢰도
일본산 딸기,품목,시장트렌드,프리미엄,포장,고급스러움
딸기,품목,경쟁기업,컬쳐드 그린 트레이딩,기업명,현지화잘됨
딸기,품목,경쟁기업,헤리티지 프로듀스,기업명,현지화잘됨
딸기,품목,경쟁기업,엘리트 프루츠,기업명,현지화잘됨
컬쳐드 그린 트레이딩,기업,설립연도,2008년,업력,16년
헤리티지 프로듀스,기업,설립연도,1998년,업력,26년
엘리트 프루츠,기업,설립연도,1990년,업력,34년
컬쳐드 그린 트레이딩,기업,포장현지화,포장디자인,포장문구,포장방식
헤리티지 프로듀스,기업,포장현지화,포장디자인,포장문구,포장방식
엘리트 프루츠,기업,포장현지화,포장디자인,포장문구,포장방식
컬쳐드 그린 트레이딩,기업,홍보,홈페이지,인스타그램,글로벌계정
헤리티지 프로듀스,기업,홍보,홈페이지,인스타그램,글로벌계정
엘리트 프루츠,기업,홍보,홈페이지,인스타그램,글로벌계정
