엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
필리핀,국가,생산,유아용 쌀과자,품목,시기:2024년
A사 현미스틱,제품,생산,유아용 쌀과자,품목,가격:16421원;중량:30g;국가:한국;특징:유기농 쌀;포장:포퍼링공법
A사 현미스틱,제품,대체품,러스크,품목,가격:16421원;중량:30g
A사 현미스틱,제품,대체품,비스킷,품목,가격:16421원;중량:30g
쇼피,온라인쇼핑몰,판매,퍼프 A사 브라운 라이스 팝 치즈,품목,가격:2019원;중량:20g
쇼피,온라인쇼핑몰,판매,퍼프 베이비 멈멈,품목,가격:4038원;중량:50g
라자다,온라인쇼핑몰,판매,맘맘 바나나 라이스 러스크,품목,가격:3088원;중량:50g
이베이,온라인쇼핑몰,판매,러스크 B사 팝 라이스 스낵,품목,가격:75512원;중량:50g
더 마켓플레이스,오프라인매장,판매,애플 라이스 케이크 클라우즈,품목,가격:5344원;중량:40g
더 랜드마크,오프라인매장,판매,퍼프 리얼 그레인 펌킨,품목,가격:2102원;중량:60g
강남마트,오프라인매장,판매,뽀로로와 친구들 플레인,품목,가격:2019원;중량:65g
올가닉스,기업,생산,애플 라이스 케이크 클라우즈,품목,인증:Organic Soil Association;포장:포장디자인 현지화
원원그룹,기업,생산,맘맘 바나나 라이스 러스크,품목,인증:iFOAM;포장:포장디자인 현지화
나투 푸디즈,기업,생산,올가닉 라이스 퍼프,품목,인증:Halal;포장:포장디자인 현지화
올가닉스,기업,생산,애플 라이스 케이크 클라우즈,품목,인증:Organic Soil Association;포장:포장디자인 현지화
원원그룹,기업,생산,맘맘 바나나 라이스 러스크,품목,인증:iFOAM;포장:포장디자인 현지화
나투 푸디즈,기업,생산,올가닉 라이스 퍼프,품목,인증:Halal;포장:포장디자인 현지화
필리핀,국가,생산,유아용 쌀과자,품목,시기:2024년
유아용 쌀과자,품목,대체품,러스크,품목,시기:2024년
유아용 쌀과자,품목,대체품,비스킷,품목,시기:2024년
유아용 쌀과자,품목,생산,고객사 제품,시기:2024년
유아용 쌀과자,품목,생산,경쟁제품,시기:2024년
