엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,시장규모,증류주,품목,시기:2024;규모:6.1조원
호주,국가,시장규모,리큐르및기타증류주,품목,시기:2024;규모:3374억 원
호주,국가,수입액,글로벌수입액,품목,시기:2023;수입액:1014억 원
호주,국가,수입액,한국수입액,품목,시기:2023;수입액:28억 원
호주,국가,시장규모,증류주,품목,시기:2023;규모:6.1조 원
호주,국가,시장규모,리큐르및기타증류주,품목,시기:2023;규모:3374억 원
호주,국가,수입액,글로벌수입액,품목,시기:2023;수입액:1014억 원
호주,국가,수입액,한국수입액,품목,시기:2023;수입액:28억 원
호주,국가,수입품목,HS CODE 2208.70,품목,시기:2023
호주,국가,수입품목,리큐르,품목,시기:2023
호주,국가,수입품목,증류주,품목,시기:2023
호주,국가,수입품목,리큐르,품목,시기:2023
호주,국가,수입품목,증류주,품목,시기:2023
호주,국가,수입액,글로벌수입액,품목,시기:2023;수입액:1014억 원
호주,국가,수입액,한국수입액,품목,시기:2023;수입액:28억 원
호주,국가,수입경로,아마존,유통채널,시기:2023
호주,국가,수입경로,울워스,유통채널,시기:2023
호주,국가,수입경로,푸드웍스,유통채널,시기:2023
호주,국가,수입경로,세븐일레븐,유통채널,시기:2023
호주,국가,수입경로,스파익스프레스,유통채널,시기:2023
호주,국가,수입경로,케이티마트,유통채널,시기:2023
호주,국가,수입경로,아마존,유통채널,시기:2023
호주,국가,수입경로,이커머스,유통채널,시기:2023
호주,국가,수입경로,편의점,유통채널,시기:2023
호주,국가,수입경로,슈퍼마켓,유통채널,시기:2023
호주,국가,수입경로,레스토랑,유통채널,시기:2023
호주,국가,수입경로,바,유통채널,시기:2023
호주,국가,수입경로,온라인,유통채널,시기:2023
호주,국가,수입경로,소매점,유통채널,시기:2023
호주,국가,수입경로,편의점,유통채널,시기:2023
호주,국가,수입경로,대형유통업체,유통채널,시기:2023
호주,국가,수입경로,독립상점,유통채널,시기:2023
호주,국가,수입경로,레스토랑,유통채널,시기:2023
호주,국가,수입경로,바,유통채널,시기:2023
호주,국가,수입경로,온라인채널,유통채널,시기:2023
호주,국가,수입경로,슈퍼마켓,유통채널,시기:2023
호주,국가,수입경로,편의점,유통채널,시기:2023
호주,국가,수입경로,대형유통업체,유통채널,시기:2023
호주,국가,수입경로,독립상점,유통채널,시기:2023
호주,국가,수입경로,레스토랑,유통채널,시기:2023
호주,국가,수입경로,바,유통채널,시기:2023
호주,국가,수입경로,온라인채널,유통채널,시기:2023
호주,국가,수입경로,슈퍼마켓,유통채널,시기:2023
호주,국가,수입경로,편의점,유통채널,시기:2023
호주,국가,수입경로,대형유통업체,유통채널,시기:2023
호주,국가,수입경로,독립상점,유통채널,시기:2023
호주,국가,수입경로,레스토랑,유통채널,시기:2023
호주,국가,수입경로,바,유통채널,시기:2023
