엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,시장규모,신선생선,품목,시기:2024;시장규모:2.8조원
한국,국가,생산규모,메기,품목,시기:2022;생산규모:3762
호주,국가,수입액,HS CODE 0304.62,품목,시기:2019;수입액:308억 원
호주,국가,수입액,HS CODE 0304.62,품목,시기:2020;수입액:223억 원
호주,국가,수입액,HS CODE 0304.62,품목,시기:2021;수입액:194억 원
호주,국가,수입액,HS CODE 0304.62,품목,시기:2022;수입액:278억 원
호주,국가,수입액,HS CODE 0304.62,품목,시기:2023;수입액:245억 원
한국,국가,수출규모,메기,품목,시기:2023;수출량:41358;수출금액:183502
한국,국가,수출규모,메기,품목,시기:2022;수출량:23790;수출금액:12796만
호주,국가,수입단가,HS CODE 0304.62,품목,시기:2019;단가:412만 원
호주,국가,수입단가,HS CODE 0304.62,품목,시기:2020;단가:350만 원
호주,국가,수입단가,HS CODE 0304.62,품목,시기:2021;단가:348만 원
호주,국가,수입단가,HS CODE 0304.62,품목,시기:2022;단가:437만 원
호주,국가,수입단가,HS CODE 0304.62,품목,시기:2023;단가:408만 원
호주,국가,주요 수입국,HS CODE 0304.62,품목,국가:베트남;수입액:245억 원
호주,국가,주요 수입국,HS CODE 0304.62,품목,국가:중국;수입액:0.3억 원
한국,국가,수출품,메기,품목,시기:2022;수출량:23790;수출금액:12796만
한국,국가,수출품,메기,품목,시기:2023;수출량:41358;수출금액:25367만
호주,국가,HS CODE,0304.62,품목,시기:2023;단가:408만 원
호주,국가,대표 어종,Top 3,어종,명칭:킹 조지 와팅|블루 웨어후|둑피시
호주,국가,시장점유율,유통채널,점유율:43.1%,유통채널,하이퍼마켓/슈퍼마켓
호주,국가,시장점유율,유통채널,점유율:8.3%,유통채널,드럭스토어
호주,국가,시장점유율,유통채널,점유율:6.6%,유통채널,온라인
호주,국가,시장점유율,유통채널,점유율:4.5%,유통채널,유기농 식품 매장
호주,국가,시장점유율,유통채널,점유율:2.8%,유통채널,편의점
호주,국가,시장점유율,유통채널,점유율:2.8%,유통채널,할인점
호주,국가,시장점유율,유통채널,점유율:31.9%,유통채널,기타
울워스,기업,유통채널,메기구이,품목,유통채널:오프라인 슈퍼마켓
콜스,기업,유통채널,메기구이,품목,유통채널:오프라인 슈퍼마켓
마네타스씨푸드마켓,기업,유통채널,메기구이,품목,유통채널:온라인 수산물 쇼핑몰
이베이,기업,유통채널,메기구이,품목,유통채널:온라인 종합쇼핑몰
크라운슈퍼마켓,기업,유통채널,메기구이,품목,유통채널:아시안마트
케이티마트,기업,유통채널,메기구이,품목,유통채널:아시안마트
스시스시,기업,유통채널,메기구이,품목,유통채널:일본식 레스토랑
오카미,기업,유통채널,메기구이,품목,유통채널:일본식 레스토랑
데이블리즈,기업,유통채널,메기구이,품목,유통채널:아시안마트
롱 라이프 그로서리,기업,유통채널,메기구이,품목,유통채널:아시안마트
호주,국가,시장성장률,신선생선,품목,시기:2024-2028;성장률:4.2%
한국,국가,생산규모,메기,품목,시기:2022;생산규모:3762
호주,국가,시장규모,신선생선,품목,시기:2024;시장규모:3.1조원
호주,국가,시장규모,신선생선,품목,시기:2023;시장규모:2.8조원
