엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,수입,붉은 대게살,품목,시기:2024년;시장규모:1.31조원
호주,국가,수입,HS CODE 1605.10,품목,시기:2024년;수입액:85억 원
호주,국가,수입,한국,국가,시기:2019-2023;수입액:6.2억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
호주,국가,수입,호주,국가,시기:2019-2023;수입액:85억 원
