엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,시장규모,즉석국,품목,시기:2024;시장규모:5.2조원
호주,국가,시장성장률,편의식,품목,시기:2019-2023;연평균성장률:7.2%
호주,국가,시장성장률,수프,품목,시기:2019-2023;연평균성장률:5.2%
호주,국가,HS CODE,2104.10,품목,시기:2023;수입액:35억원
호주,국가,수입액,한국,국가,시기:2019-2023;수입액:35억원
호주,국가,수입액,글로벌,국가,시기:2019-2023;수입액:747억 원
호주,국가,수입액,뉴질랜드,국가,시기:2019-2023;수입액:350억 원
호주,국가,수입액,태국,국가,시기:2019-2023;수입액:112억 원
호주,국가,수입액,일본,국가,시기:2019-2023;수입액:54억 원
호주,국가,HS CODE,2104.10,품목,시기:2023;수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:747억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
호주,국가,HS CODE,2104.10,품목,관세청,수입액:35억 원
