엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,생산,컵우동,품목,시기:2024년 8월
K Street Food Udon,품목,생산,인스턴트 면 조리 식품,품목,중량:192g;가격:5.35호주달러;맛:쇼유맛 매운맛 김치맛 치킨맛
울워스,Woolworths,수입,컵우동,품목,원산지:한국;가격:4.50호주달러;중량:222g
아마존,Amazon,수입,컵우동,품목,원산지:한국;가격:4.50호주달러;중량:222g
아이허브,iHerb,수입,컵우동,품목,원산지:한국;가격:4.08호주달러;중량:200g
케이몰,K Mall,수입,컵우동,품목,원산지:한국;가격:5.10호주달러;중량:215.5g
울워스,Woolworths,수입,컵우동,품목,원산지:한국;가격:5.10호주달러;중량:215.5g
제트시티,ZetCiti,수입,컵우동,품목,원산지:한국;가격:3.85호주달러;중량:235g
미야코이치,Miyakoichi,수입,컵우동,품목,원산지:일본;가격:4.58호주달러;중량:94g
토요 스이산,Toyo Suisan,수입,컵우동,품목,원산지:일본;가격:4.58호주달러;중량:94g
A사,기업,생산,컵우동,품목,설립연도:1965;국적:한국;업력:59년;제품수:4개
B사,기업,생산,컵우동,품목,설립연도:1970;국적:한국;업력:54년;제품수:8개
C사,기업,생산,컵우동,품목,설립연도:1986;국적:한국;업력:38년;제품수:24개
호주,국가,생산,컵우동,품목,시기:2024년 8월
호주,국가,생산,컵우동,품목,시기:2024년 8월
호주,국가,생산,컵우동,품목,시기:2024년 8월
