엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
홍콩,국가,시장규모,잎차,품목,시기:2024;시장규모:3.2조원
홍콩,국가,시장성장률,잎차,품목,시기:2024;연평균성장률:2.6%
홍콩,국가,차시장규모,잎차,품목,시기:2023;시장규모:8887억 원
홍콩,국가,HS CODE,잎차,품목,코드:0902.20
중국,국가,수입액,잎차,품목,2023년:403억 원
대만,국가,수입액,잎차,품목,2023년:31억 원
일본,국가,수입액,잎차,품목,2023년:11억 원
홍콩,국가,수입업체,홍콩 식품환경위생부,기관,등록필수
홍콩,국가,수입업체,홍콩 식품안전센터,기관,등록필수
홍콩,국가,수입업체,홍콩 해관,기관,통관절차
홍콩,국가,수입업체,AEO,제도,신속통관;검사생략
홍콩,국가,수입업체,홍콩 식품환경위생부,기관,사전등록
홍콩,국가,수입업체,홍콩 식품안전센터,기관,인증취득
홍콩,국가,수입업체,홍콩 유해물질기준,규제,멜라민:2.5mg/kg;아플라톡신:15μg/kg
홍콩,국가,허브차,품목,카모마일,로즈마리,선호도:증가
홍콩,국가,허브차,선호요인,요소,맛;건강효능;인증
유리병,포장,규제,허브차,포장,포장재 안전성;환경기준
홍콩,국가,비건인증,요구서류,사업자등록증,상표등록증,품질검사보고서,생산공정설명서,원재료목록,공급업체자격증명서
홍콩,국가,무농약인증,요구서류,농약관리문서,생산공정서류,품질검사보고서
홍콩,국가,허브차,시장동향,트렌드,허브차 성장;카모마일,페퍼민트,로즈마리 인기
홍콩,국가,허브차,소비자선호,요소,맛;건강효능;인증
유리병,포장,타겟,허브차,소비층,건강중시 직장인;젊은층
유리병,가격대,시장경쟁력,허브차,가격,12000-15000원
홍콩,국가,포장규제,병포장,규제없음,일반적 안전기준 준수
홍콩,국가,인증요구,비건,무농약,서류,사업자등록증,품질검사보고서,생산공정서류
홍콩,국가,차시장,동향,인기제품,녹차,허브차,수제차,퓨전차
홍콩,국가,인기제품,잎차,종류,녹차,우롱차,보이차,용정차
홍콩,국가,시장성장,차시장,시기,2024-28;연평균성장률:4.3%
홍콩,국가,수입액,잎차,품목,2023년:446억 원
홍콩,국가,수입국,중국,대만,일본,수입비중,중국:약90%
홍콩,국가,브랜드,푸밍위안,중국차,가격대,합리적
홍콩,국가,브랜드,치춘,중국차,도출건수,31
홍콩,국가,브랜드,천이판,중국차,도출건수,22
홍콩,국가,제품,녹차,빈도,68
홍콩,국가,제품,우롱차,빈도,58
홍콩,국가,제품,홍차,빈도,33
홍콩,국가,제품,용정차,빈도,34
홍콩,국가,브랜드,보이차,빈도,45
홍콩,국가,브랜드,수입업체,차종,수입차;수제차
홍콩,국가,시장,트렌드,허브차,인기증가;건강중시
홍콩,국가,소비자,허브차선호,요소,맛;효능;인증
홍콩,국가,소비층,허브차,주요,젊은직장인;건강중시
홍콩,국가,가격대,허브차,경쟁력,12000-15000원
홍콩,국가,포장,규제,병포장,안전성;환경기준
홍콩,국가,인증,비건,무농약,서류,사업자등록증,품질검사보고서
홍콩,국가,차시장,동향,허브차,카모마일,로즈마리 인기
홍콩,국가,허브차,소비자선호,요소,맛;효능;인증
