엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
UAE,국가,수출국,한국,국가,시기:2024년;국가:UAE
UAE,국가,수입국,한국,국가,시기:2024년;국가:UAE
UAE,국가,수출품목,대추,품목,시기:2024년;국가:UAE
UAE,국가,수출품목,오이/오이,품목,시기:2024년;국가:UAE
UAE,국가,수출품목,낙타젖,품목,시기:2024년;국가:UAE
UAE,국가,수출품목,염소젖,품목,시기:2024년;국가:UAE
UAE,국가,수출품목,토마토,품목,시기:2024년;국가:UAE
UAE,국가,수출품목,계란,품목,시기:2024년;국가:UAE
UAE,국가,수출품목,염소고기,품목,시기:2024년;국가:UAE
UAE,국가,수출품목,우유,품목,시기:2024년;국가:UAE
UAE,국가,수출품목,닭고기,품목,시기:2024년;국가:UAE
UAE,국가,수출품목,낙타고기,품목,시기:2024년;국가:UAE
UAE,국가,수입품목,유채씨(기타),품목,시기:2024년;국가:UAE
UAE,국가,수입품목,조제식료품,품목,시기:2024년;국가:UAE
UAE,국가,수입품목,무첨가 우유·크림,품목,시기:2024년;국가:UAE
UAE,국가,수입품목,냉동 닭고기,품목,시기:2024년;국가:UAE
UAE,국가,수입품목,닭(기타),품목,시기:2024년;국가:UAE
UAE,국가,수입품목,밀(기타),품목,시기:2024년;국가:UAE
UAE,국가,수입품목,쌀(정미),품목,시기:2024년;국가:UAE
UAE,국가,수입품목,팜유(기타),품목,시기:2024년;국가:UAE
UAE,국가,수입품목,렌즈콩,품목,시기:2024년;국가:UAE
UAE,국가,수입품목,냉동 쇠고기,품목,시기:2024년;국가:UAE
한국,국가,수출국,UAE,국가,시기:2024년;국가:한국
한국,국가,수출품목,라면,품목,시기:2024년;국가:한국
한국,국가,수출품목,조제식료품(기타),품목,시기:2024년;국가:한국
한국,국가,수출품목,차,품목,시기:2024년;국가:한국
한국,국가,수출품목,마태(설탕대용물 함유),품목,시기:2024년;국가:한국
한국,국가,수출품목,비스킷류,품목,시기:2024년;국가:한국
한국,국가,수출품목,아이스크림,품목,시기:2024년;국가:한국
한국,국가,수출품목,조미김,품목,시기:2024년;국가:한국
한국,국가,수출품목,소스 조제품(기타),품목,시기:2024년;국가:한국
한국,국가,수출품목,속을 채운 파스타,품목,시기:2024년;국가:한국
한국,국가,수출품목,베이커리 제품,품목,시기:2024년;국가:한국
한국,국가,수출품목,쌀가루 조제식료품,품목,시기:2024년;국가:한국
한국,국가,수출액,약 24.8백만 달러,금액,시기:2024년;국가:한국
UAE,국가,수입액,약 23.2십억 달러,금액,시기:2024년;국가:UAE
UAE,국가,수입국,인도,국가,시기:2024년;국가:UAE
UAE,국가,수입국,브라질,국가,시기:2024년;국가:UAE
UAE,국가,수입국,호주,국가,시기:2024년;국가:UAE
