엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
나이지리아,국가,수출,한국,국가,시기:2024년;국가:나이지리아
나이지리아,국가,수입,한국,국가,시기:2024년;국가:나이지리아
나이지리아,국가,수출,네덜란드,국가,시기:2024년;국가:네덜란드
나이지리아,국가,수출,인도,국가,시기:2024년;국가:인도
나이지리아,국가,수출,베트남,국가,시기:2024년;국가:베트남
나이지리아,국가,수출,중국,국가,시기:2024년;국가:중국
나이지리아,국가,수출,말레이시아,국가,시기:2024년;국가:말레이시아
나이지리아,국가,수출,파키스탄,국가,시기:2024년;국가:파키스탄
나이지리아,국가,수출,독일,국가,시기:2024년;국가:독일
나이지리아,국가,수출,프랑스,국가,시기:2024년;국가:프랑스
나이지리아,국가,수출,일본,국가,시기:2024년;국가:일본
나이지리아,국가,수출,미국,국가,시기:2024년;국가:미국
나이지리아,국가,수출,한국,국가,시기:2024년;국가:한국
나이지리아,국가,수입,브라질,국가,시기:2024년;국가:브라질
나이지리아,국가,수입,중국,국가,시기:2024년;국가:중국
나이지리아,국가,수입,폴란드,국가,시기:2024년;국가:폴란드
나이지리아,국가,수입,라트비아,국가,시기:2024년;국가:라트비아
나이지리아,국가,수입,캐나다,국가,시기:2024년;국가:캐나다
나이지리아,국가,수입,리투아니아,국가,시기:2024년;국가:리투아니아
나이지리아,국가,수입,미국,국가,시기:2024년;국가:미국
나이지리아,국가,수입,러시아,국가,시기:2024년;국가:러시아
나이지리아,국가,수입,말레이시아,국가,시기:2024년;국가:말레이시아
나이지리아,국가,수입,영국,국가,시기:2024년;국가:영국
나이지리아,국가,수입,한국,국가,시기:2024년;국가:한국
한국,국가,수출,나이지리아,국가,시기:2024년
한국,국가,수출,나이지리아,국가,품목:농산물,수출액:약 3,639만 달러
한국,국가,수출,나이지리아,국가,품목:수산물,수출액:약 206만 달러
한국,국가,수출,나이지리아,국가,품목:축산물,수출액:약 9만 달러
나이지리아,국가,수입,브라질,국가,수입액:약 1.12억 달러
나이지리아,국가,수입,중국,국가,수입액:약 4.96억 달러
나이지리아,국가,수입,폴란드,국가,수입액:약 4.6백만 달러
나이지리아,국가,수입,라트비아,국가,수입액:약 4.26억 달러
나이지리아,국가,수입,캐나다,국가,수입액:약 4.05억 달러
나이지리아,국가,수입,리투아니아,국가,수입액:약 2.98억 달러
나이지리아,국가,수입,미국,국가,수입액:약 2.59억 달러
나이지리아,국가,수입,러시아,국가,수입액:약 2.54억 달러
나이지리아,국가,수입,말레이시아,국가,수입액:약 2.53억 달러
나이지리아,국가,수입,영국,국가,수입액:약 2.04억 달러
나이지리아,국가,수입,한국,국가,수입액:약 733만 달러
나이지리아,국가,수출,코코아두,품목,수출액:약 6억 2392만 달러
나이지리아,국가,수출,참깨,품목,수출액:약 4억 2785만 달러
나이지리아,국가,수출,대두(기타),품목,수출액:약 2억 255만 달러
나이지리아,국가,수출,캐슈너트(미탈각),품목,수출액:약 1억 8540만 달러
나이지리아,국가,수출,캐슈너트(탈각),품목,수출액:약 1억 4206만 달러
나이지리아,국가,수출,대두유 추출 유박,품목,수출액:약 9486만 달러
나이지리아,국가,수출,코코아 버터,품목,수출액:약 6499만 달러
나이지리아,국가,수출,코코아 페이스트(탈지),품목,수출액:약 3,113만 달러
나이지리아,국가,수입,듀럼종 밀,품목,수입액:약 19억 9053만 달러
나이지리아,국가,수입,사탕수수당,품목,수입액:약 8억 7418만 달러
나이지리아,국가,수입,맥아 추출물,품목,수입액:약 2억 5406만 달러
나이지리아,국가,수입,조제식료품,품목,수입액:약 1억 8356만 달러
나이지리아,국가,수입,볶지않은 맥아,품목,수입액:약 1억 6313만 달러
나이지리아,국가,수입,고체 우유,품목,수입액:약 1억 2970만 달러
나이지리아,국가,수입,빵(기타),품목,수입액:약 1억 2044만 달러
나이지리아,국가,수입,무첨가 우유·크림,품목,수입액:약 1억 1906만 달러
나이지리아,국가,수입,조제·보존처리한 감자,품목,수입액:약 1억 1744만 달러
나이지리아,국가,수입,팜유(기타),품목,수입액:약 1억 1579만 달러
