엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"김치",품목,"수출액", "일본",국가,"시기:2023;수출액:6149만달러"
"김치",품목,"수출액", "미국",국가,"시기:2023;수출액:3999만달러"
"김치",품목,"수출액", "네덜란드",국가,"시기:2023;수출액:738만달러"
"한국",국가,"수출", "김치",품목,"시기:2023;수출액:15560만달러"
"한국",국가,"수입", "김치",품목,"시기:2023;수입액:842만달러"
"중국",국가,"수입", "김치",품목,"시기:2023;수입액:26690만달러"
"일본",국가,"수입", "김치",품목,"시기:2023;수입액:37661만달러"
"미국",국가,"수입", "김치",품목,"시기:2023;수입액:6837만달러"
"김치",품목,"생산", "Hoshiyama",기업,"국적:일본;주요제품:배추김치,깍두기"
"김치",품목,"생산", "Richouen",기업,"국적:일본;주요제품:배추김치,깍두기"
"김치",품목,"생산", "Toyoda Shouten",기업,"국적:일본;주요제품:배추김치,연근김치"
"김치",품목,"생산", "Fairment",기업,"국적:독일;주요제품:비건김치,유기농김치"
"김치",품목,"생산", "Old Friends",기업,"국적:폴란드;주요제품:배추김치,비트김치"
"김치",품목,"생산", "Biona",기업,"국적:영국;주요제품:유기농김치"
"김치",품목,"생산", "Lucky Foods",기업,"국적:한국;주요제품:배추김치,비건김치"
"김치",품목,"생산", "Ocean's Halo",기업,"국적:미국;주요제품:유기농김치,채소절임"
"김치",품목,"생산", "Mother In Laws",기업,"국적:미국;주요제품:수제김치,비건김치"
"김치",품목,"생산", "종가집",기업,"국적:한국;주요제품:배추김치,볶음김치"
"김치",품목,"생산", "비비고",기업,"국적:한국;주요제품:배추김치,볶음김치"
"김치",품목,"생산", "양반",기업,"국적:한국;주요제품:배추김치,볶음김치"
"김치",품목,"생산", "수라상",기업,"국적:한국;주요제품:배추김치,볶음김치"
"김치",품목,"생산", "아줌마리퍼블릭",기업,"국적:한국;주요제품:배추김치,볶음김치"
"김치",품목,"생산", "대상",기업,"국적:한국;주요제품:배추김치,숙성김치"
"김치",품목,"생산", "미야마",기업,"국적:일본;주요제품:숙성김치,저염김치"
"김치",품목,"생산", "토카이츠케모노",기업,"국적:일본;주요제품:매운김치"
"김치",품목,"생산", "유럽현지제조",기업,"국적:독일;주요제품:비건김치,유기농김치"
"김치",품목,"생산", "독일완제품생산",기업,"국적:독일;주요제품:배추김치,비건김치"
"김치",품목,"생산", "캐나다현지제조",기업,"국적:캐나다;주요제품:배추김치,볶음김치"
"김치",품목,"생산", "한국산",기업,"국적:한국;주요제품:배추김치,볶음김치"
"김치",품목,"생산", "일본산",기업,"국적:일본;주요제품:배추김치,깍두기"
"김치",품목,"생산", "독일산",기업,"국적:독일;주요제품:배추김치,비건김치"
"김치",품목,"생산", "미국산",기업,"국적:미국;주요제품:배추김치,유기농김치"
"김치",품목,"수입", "중국",국가,"시기:2023;수입액:26690만달러"
"김치",품목,"수입", "한국",국가,"시기:2023;수입액:842만달러"
"김치",품목,"수입", "일본",국가,"시기:2023;수입액:37661만달러"
"김치",품목,"수입", "미국",국가,"시기:2023;수입액:6837만달러"
"김치",품목,"수입", "캐나다",국가,"시기:2023;수입액:12731만달러"
