엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"2024년 농식품 해외시장 품목조사 -대체식품-",문서제목,관련,없음,없음,국가:전세계;시기:2024년
"미국",국가,수입,풀무원,기업,국가:한국;시기:2024년
"풀무원",기업,생산,대체식품,품목,국가:한국;시기:2024년
"풀무원",기업,수입,미국,국가,시기:2024년
"풀무원",기업,수입,싱가포르,국가,시기:2024년
"풀무원",기업,수입,일본,국가,시기:2024년
"풀무원",기업,수입,유럽,국가,시기:2024년
"풀무원",기업,수입,독일,국가,시기:2024년
"풀무원",기업,수입,일본,국가,시기:2024년
"풀무원",기업,수입,싱가포르,국가,시기:2024년
"풀무원",기업,수입,미국,국가,시기:2024년
"풀무원",기업,수입,유럽,국가,시기:2024년
"풀무원",기업,수입,독일,국가,시기:2024년
"풀무원",기업,수입,일본,국가,시기:2024년
"풀무원",기업,수입,싱가포르,국가,시기:2024년
"풀무원",기업,수입,미국,국가,시기:2024년
"풀무원",기업,수입,유럽,국가,시기:2024년
"풀무원",기업,수입,독일,국가,시기:2024년
"대체식품",품목,생산,풀무원,기업,국가:한국;시기:2024년
"대체식품",품목,수입,미국,국가,시기:2024년
"대체식품",품목,수입,싱가포르,국가,시기:2024년
"대체식품",품목,수입,일본,국가,시기:2024년
"대체식품",품목,수입,유럽,국가,시기:2024년
"대체식품",품목,수입,독일,국가,시기:2024년
"대체식품",품목,수입,일본,국가,시기:2024년
"대체식품",품목,수입,싱가포르,국가,시기:2024년
"대체식품",품목,수입,미국,국가,시기:2024년
"대체식품",품목,수입,유럽,국가,시기:2024년
"대체식품",품목,수입,독일,국가,시기:2024년
"배양육",품목,생산,기업,기업,국가:미국;시기:2024년
"배양육",품목,생산,기업,기업,국가:싱가포르;시기:2024년
"배양육",품목,생산,기업,기업,국가:유럽;시기:2024년
"배양육",품목,수입,기업,기업,국가:미국;시기:2024년
"배양육",품목,수입,기업,기업,국가:싱가포르;시기:2024년
"배양육",품목,수입,기업,기업,국가:유럽;시기:2024년
"유제품",품목,생산,기업,기업,국가:한국;시기:2024년
"유제품",품목,수입,미국,국가,시기:2024년
"유제품",품목,수입,일본,국가,시기:2024년
"유제품",품목,수입,싱가포르,국가,시기:2024년
"유제품",품목,수입,유럽,국가,시기:2024년
"유제품",품목,수입,독일,국가,시기:2024년
"유제품",품목,수입,일본,국가,시기:2024년
"유제품",품목,수입,싱가포르,국가,시기:2024년
"유제품",품목,수입,미국,국가,시기:2024년
"유제품",품목,수입,유럽,국가,시기:2024년
"유제품",품목,수입,독일,국가,시기:2024년
"유제품",품목,수입,일본,국가,시기:2024년
"유제품",품목,수입,싱가포르,국가,시기:2024년
"유제품",품목,수입,미국,국가,시기:2024년
"유제품",품목,수입,유럽,국가,시기:2024년
"유제품",품목,수입,독일,국가,시기:2024년
"유제품",품목,수입,일본,국가,시기:2024년
"유제품",품목,수입,싱가포르,국가,시기:2024년
"유제품",품목,수입,미국,국가,시기:2024년
"유제품",품목,수입,유럽,국가,시기:2024년
