엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,수출,한국,기업,국가:중국;시기:2024년
미국,국가,수입,한국,기업,국가:미국;시기:2024년
독일,국가,수출,한국,기업,국가:독일;시기:2024년
일본,국가,수출,한국,기업,국가:일본;시기:2024년
중국,국가,수출,일본,기업,국가:중국;시기:2024년
중국,국가,수입,한국,기업,국가:중국;시기:2024년
미국,국가,수입,한국,기업,국가:미국;시기:2024년
독일,국가,수입,일본,기업,국가:독일;시기:2024년
일본,국가,수입,한국,기업,국가:일본;시기:2024년
한국,기업,수출,중국,국가,국가:중국;시기:2024년
한국,기업,수출,미국,국가,국가:미국;시기:2024년
한국,기업,수출,네덜란드,국가,국가:네덜란드;시기:2024년
한국,기업,수출,일본,국가,국가:일본;시기:2024년
한국,기업,수입,중국,국가,국가:중국;시기:2024년
한국,기업,수입,일본,국가,국가:일본;시기:2024년
한국,기업,수입,대만,국가,국가:대만;시기:2024년
한국,기업,수입,베트남,국가,국가:베트남;시기:2024년
한국,기업,수입,미국,국가,국가:미국;시기:2024년
한국,기업,수입,독일,국가,국가:독일;시기:2024년
한국,기업,수입,일본,국가,국가:일본;시기:2024년
한국,기업,수입,대만,국가,국가:대만;시기:2024년
한국,기업,수입,베트남,국가,국가:베트남;시기:2024년
한국,기업,수입,미국,국가,국가:미국;시기:2024년
한국,기업,수입,독일,국가,국가:독일;시기:2024년
한국,기업,수입,일본,국가,국가:일본;시기:2024년
한국,기업,수입,대만,국가,국가:대만;시기:2024년
한국,기업,수입,베트남,국가,국가:베트남;시기:2024년
