엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국산 소주,품목,수출,미국,국가,시기:2023;수출액:11410만달러
한국산 막걸리,품목,수출,대만,국가,시기:2023;수출액:304만달러
한국산 전통주,품목,수출,일본,국가,시기:2023;수출액:6072만달러
한국산 소주,품목,생산,한국,국가,시기:2023
한국산 막걸리,품목,생산,한국,국가,시기:2023
한국산 전통주,품목,생산,한국,국가,시기:2023
한국산 소주,품목,수입,대만,국가,시기:2023;수입액:6613만달러
한국산 막걸리,품목,수입,대만,국가,시기:2023;수입액:250만달러
한국산 전통주,품목,수입,대만,국가,시기:2023;수입액:404만달러
한국산 소주,품목,수입,미국,국가,시기:2023;수입액:8867만달러
한국산 막걸리,품목,수입,미국,국가,시기:2023;수입액:210만달러
한국산 전통주,품목,수입,미국,국가,시기:2023;수입액:136만달러
한국산 소주,품목,수입,일본,국가,시기:2023;수입액:450만달러
한국산 막걸리,품목,수입,일본,국가,시기:2023;수입액:68만달러
한국산 전통주,품목,수입,일본,국가,시기:2023;수입액:68만달러
한국산 소주,품목,수입,대만,국가,시기:2023;수입액:38만달러
한국산 막걸리,품목,수입,대만,국가,시기:2023;수입액:20만달러
한국산 전통주,품목,수입,대만,국가,시기:2023;수입액:16만달러
한국산 소주,품목,수출,대만,국가,시기:2023;수출액:약 9.15백만달러
한국산 막걸리,품목,수출,대만,국가,시기:2023;수출액:약 0.04백만달러
한국산 전통주,품목,수출,대만,국가,시기:2023;수출액:약 0.02백만달러
한국산 소주,품목,수출,일본,국가,시기:2023;수출액:약 6.07백만달러
한국산 막걸리,품목,수출,일본,국가,시기:2023;수출액:약 0.68백만달러
한국산 전통주,품목,수출,일본,국가,시기:2023;수출액:약 0.02백만달러
한국산 소주,품목,수출,미국,국가,시기:2023;수출액:약 6.18백만달러
한국산 막걸리,품목,수출,미국,국가,시기:2023;수출액:약 0.21백만달러
한국산 전통주,품목,수출,미국,국가,시기:2023;수출액:약 0.06백만달러
