엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,수출,Sanquan,기업,국적:중국
Sanquan,기업,생산,즉석식품,품목,특징:냉동만두,제품라인업확대;포장재:생분해성;비건제품:비건만두
Synear,기업,생산,즉석식품,품목,특징:중국 전역 유통,온라인 강화,주요제품:돼지고기부추만두,소룡포
Wanchai Ferry,기업,생산,즉석식품,품목,특징:미국소유,중국시장,주요제품:양배추돼지고기만두,찐빵
중국,국가,수입,중국산,품목,수입량:9987
중국,국가,수입,한국산,품목,수입량:658
중국,국가,수입,베트남산,품목,수입량:12079
중국,국가,수입,미국산,품목,수입량:19062
중국,국가,수입,일본산,품목,수입량:445
중국,국가,수입,대만산,품목,수입량:0
중국,국가,수입,말레이시아산,품목,수입량:0
중국,국가,수입,영국산,품목,수입량:0
중국,국가,수입,한국산,품목,수입량:0
중국,국가,수입,수입산,품목,수입량:약 1327만달러
중국,국가,수출,중국,국가,수출액:약 2억7815만달러
중국,국가,수출,홍콩,국가,수출액:약 7,343만달러
중국,국가,수출,미국,국가,수출액:약 4,112만달러
중국,국가,수출,일본,국가,수출액:약 3,129만달러
중국,국가,수출,한국,국가,수출액:약 110만달러
중국,국가,수입,중국,국가,수입액:약 1억 8067만달러
중국,국가,수입,한국,국가,수입액:약 1,701만달러
중국,국가,수입,말레이시아,국가,수입액:약 380만달러
중국,국가,수입,일본,국가,수입액:약 440만달러
중국,국가,수입,베트남,국가,수입액:약 1,200만달러
중국,국가,수입,수입산,품목,수입액:약 1억 273만달러
중국,국가,수입,한국산,품목,수입액:약 769만달러
중국,국가,수입,일본산,품목,수입액:약 550만달러
중국,국가,수입,말레이시아산,품목,수입액:약 380만달러
중국,국가,수입,영국산,품목,수입액:약 440만달러
중국,국가,수입,인도산,품목,수입액:약 50만달러
중국,국가,수입,대만산,품목,수입액:약 300만달러
중국,국가,수입,한국산,품목,수입액:약 760만달러
중국,국가,수입,일본산,품목,수입액:약 3,090만달러
중국,국가,수입,말레이시아산,품목,수입액:약 380만달러
중국,국가,수입,영국산,품목,수입액:약 440만달러
중국,국가,수입,인도산,품목,수입액:약 50만달러
중국,국가,수입,대만산,품목,수입액:약 300만달러
중국,국가,수입,한국산,품목,수입액:약 760만달러
중국,국가,수입,일본산,품목,수입액:약 3,090만달러
중국,국가,수입,말레이시아산,품목,수입액:약 380만달러
중국,국가,수입,영국산,품목,수입액:약 440만달러
중국,국가,수입,인도산,품목,수입액:약 50만달러
중국,국가,수입,대만산,품목,수입액:약 300만달러
중국,국가,수입,한국산,품목,수입액:약 760만달러
중국,국가,수입,일본산,품목,수입액:약 3,090만달러
중국,국가,수입,말레이시아산,품목,수입액:약 380만달러
중국,국가,수입,영국산,품목,수입액:약 440만달러
중국,국가,수입,인도산,품목,수입액:약 50만달러
중국,국가,수입,대만산,품목,수입액:약 300만달러
중국,국가,수입,한국산,품목,수입액:약 760만달러
중국,국가,수입,일본산,품목,수입액:약 3,090만달러
중국,국가,수입,말레이시아산,품목,수입액:약 380만달러
중국,국가,수입,영국산,품목,수입액:약 440만달러
중국,국가,수입,인도산,품목,수입액:약 50만달러
중국,국가,수입,대만산,품목,수입액:약 300만달러
중국,국가,수입,한국산,품목,수입액:약 760만달러
중국,국가,수입,일본산,품목,수입액:약 3,090만달러
중국,국가,수입,말레이시아산,품목,수입액:약 380만달러
중국,국가,수입,영국산,품목,수입액:약 440만달러
중국,국가,수입,인도산,품목,수입액:약 50만달러
중국,국가,수입,대만산,품목,수입액:약 300만달러
중국,국가,수입,한국산,품목,수입액:약 760만달러
중국,국가,수입,일본산,품목,수입액:약 3,090만달러
중국,국가,수입,말레이시아산,품목,수입액:약 380만달러
중국,국가,수입,영국산,품목,수입액:약 440만달러
