엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
GU WANG,브랜드,생산,대만,국가,국적:대만;시기:2024년
WAN JA SHAN,브랜드,생산,대만,국가,국적:대만
WAN JA SHAN,브랜드,생산,대만,국가,국적:대만
Guwang,브랜드,수입,대만,국가,국가:대만;시기:2024년
Guwang,브랜드,수입,대만,국가,국가:대만;시기:2024년
Sannadle,회사,생산,베트남,국가,국적:베트남
GALBIFoods,회사,생산,베트남,국가,국적:베트남
Kikkoman,회사,생산,일본,국가,국적:일본
Jayone,회사,생산,미국,국가,국적:미국
CHINMIDO,회사,생산,일본,국가,국적:일본
SOUKE,회사,생산,일본,국가,국적:일본
EBARA,회사,생산,일본,국가,국적:일본
Walmart,유통업체,수입,일본,국가,국적:일본
Walmart,유통업체,수입,일본,국가,국적:일본
Costco,유통업체,수입,일본,국가,국적:일본
Family Mart,유통업체,수입,일본,국가,국적:일본
7-Eleven,유통업체,수입,일본,국가,국적:일본
AEON,유통업체,수입,일본,국가,국적:일본
MaxValu,유통업체,수입,일본,국가,국적:일본
Rakuten,온라인유통,수입,일본,국가,국적:일본
Amazon,온라인유통,수입,일본,국가,국적:일본
Co-op,온라인유통,수입,일본,국가,국적:일본
Walmart,유통업체,수입,미국,국가,국적:미국
Costco,유통업체,수입,미국,국가,국적:미국
Target,유통업체,수입,미국,국가,국적:미국
Sam's Club,유통업체,수입,미국,국가,국적:미국
Publix,유통업체,수입,미국,국가,국적:미국
Amazon,온라인유통,수입,미국,국가,국적:미국
Walmart,온라인유통,수입,미국,국가,국적:미국
Kikkoman,회사,수입,일본,국가,국적:일본
Shirakiku,회사,수입,일본,국가,국적:일본
Ebara,회사,수입,일본,국가,국적:일본
SUDI SOUKE,회사,수입,일본,국가,국적:일본
CHINMIDO,회사,수입,일본,국가,국적:일본
SOUKE,회사,수입,일본,국가,국적:일본
EBARA,회사,수입,일본,국가,국적:일본
Walmart,유통,수입,일본,국가,국적:일본
Family Mart,유통,수입,일본,국가,국적:일본
7-Eleven,유통,수입,일본,국가,국적:일본
AEON,유통,수입,일본,국가,국적:일본
MaxValu,유통,수입,일본,국가,국적:일본
Rakuten,온라인유통,수입,일본,국가,국적:일본
Amazon,온라인유통,수입,일본,국가,국적:일본
Co-op,온라인유통,수입,일본,국가,국적:일본
Walmart,수출,생산,한국,국가,국적:한국
Costco,수출,생산,한국,국가,국적:한국
Target,수출,생산,한국,국가,국적:한국
Sam's Club,수출,생산,한국,국가,국적:한국
Publix,수출,생산,한국,국가,국적:한국
Amazon,수출,생산,한국,국가,국적:한국
Walmart,수출,생산,한국,국가,국적:한국
Kikkoman,수출,생산,일본,국가,국적:일본
Shirakiku,수출,생산,일본,국가,국적:일본
Ebara,수출,생산,일본,국가,국적:일본
SUDI SOUKE,수출,생산,일본,국가,국적:일본
CHINMIDO,수출,생산,일본,국가,국적:일본
SOUKE,수출,생산,일본,국가,국적:일본
EBARA,수출,생산,일본,국가,국적:일본
