엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
뉴질랜드,국가,수출,무첨가 우유·크림,품목,수출액:45400000;비중:16.3%;시기:2023년
뉴질랜드,국가,수출,냉동 쇠고기,품목,수출액:21065215;비중:7.6%;시기:2023년
뉴질랜드,국가,수출,버터,품목,수출액:15252316;비중:5.5%;시기:2023년
뉴질랜드,국가,수출,절단한 냉동 양고기,품목,수출액:1504362;비중:5.4%;시기:2023년
뉴질랜드,국가,수출,키위,품목,수출액:1480685;비중:5.3%;시기:2023년
뉴질랜드,국가,수출,고체 우유,품목,수출액:1333522;비중:4.8%;시기:2023년
뉴질랜드,국가,수출,영유아 조제식료품,품목,수출액:1074810;비중:3.9%;시기:2023년
뉴질랜드,국가,수출,포도,품목,수출액:148069;비중:0.5%;시기:2023년
한국,국가,수출,라면,품목,수출액:753000;비중:15.5%;시기:2023년
한국,국가,수출,조미김,품목,수출액:439000;비중:9.1%;시기:2023년
한국,국가,수출,젤라틴,품목,수출액:400200;비중:8.2%;시기:2023년
한국,국가,수출,기타 무알코올 음료,품목,수출액:228000;비중:4.7%;시기:2023년
한국,국가,수출,콘 플레이크,품목,수출액:178000;비중:3.7%;시기:2023년
한국,국가,수출,김치,품목,수출액:163000;비중:3.4%;시기:2023년
한국,국가,수출,베이커리 제품,품목,수출액:161900;비중:3.3%;시기:2023년
한국,국가,수출,소스 조제품,품목,수출액:102500;비중:2.1%;시기:2023년
한국,국가,수출,전화당 및 그 밖의 당류,품목,수출액:96400;비중:2.0%;시기:2023년
한국,국가,수출,비스킷류,품목,수출액:90100;비중:1.9%;시기:2023년
뉴질랜드,국가,수입,호주,국가,수입액:1810949;비중:30.7%;시기:2023년
뉴질랜드,국가,수입,미국,국가,수입액:553754;비중:9.4%;시기:2023년
뉴질랜드,국가,수입,중국,국가,수입액:376446;비중:6.4%;시기:2023년
뉴질랜드,국가,수입,인도네시아,국가,수입액:327533;비중:5.5%;시기:2023년
뉴질랜드,국가,수입,말레이시아,국가,수입액:288584;비중:4.9%;시기:2023년
뉴질랜드,국가,수입,태국,국가,수입액:266847;비중:4.5%;시기:2023년
한국,국가,수입,한국산 식품,품목,수입액:57350;비중:1.0%;시기:2023년
뉴질랜드,국가,생산,우유,품목,농업현황:2022년 추정치
뉴질랜드,국가,생산,소고기,품목,농업현황:2022년 추정치
뉴질랜드,국가,생산,키위,품목,농업현황:2022년 추정치
뉴질랜드,국가,생산,사과,품목,농업현황:2022년 추정치
뉴질랜드,국가,생산,포도,품목,농업현황:2022년 추정치
뉴질랜드,국가,생산,양고기,품목,농업현황:2022년 추정치
뉴질랜드,국가,생산,감자,품목,농업현황:2022년 추정치
뉴질랜드,국가,생산,밀,품목,농업현황:2022년 추정치
뉴질랜드,국가,생산,보리,품목,농업현황:2022년 추정치
뉴질랜드,국가,생산,양파,품목,농업현황:2022년 추정치
