엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
대만,국가,수출국,한국,국가,시기:2024년;수출액:3631994
한국,국가,수입국,대만,국가,시기:2023;수입액:407049
한국,기업,수출,대만,국가,시기:2019~2023;수출액:35735만달러
대만,국가,수입,한국,국가,시기:2023;수입액:4705만달러
한국,품목,수출,대만,국가,시기:2019~2023;수출액:36억달러
대만,국가,수입,한국,국가,시기:2023;수입액:4억3500만달러
한국,품목,수출,대만,국가,관세코드:2106.90;2202.99;1905.90;1903.00;1006.30;1902.30;0710.29;2208.20;2208.30;2208.90
대만,국가,수입,한국,국가,시기:2023;수입액:4705만달러
한국,품목,수출,대만,국가,품목명:라면;신선 배;조제식료품;건조김;조미김;파스타;냉동채소;포도즙 증류주;위스키;주정음료
대만,국가,수입,한국,국가,시기:2023;수입액:약1억5300만달러
한국,품목,수출,대만,국가,품목명:조제식료품, 음료, 빵, 타피오카, 쌀
대만,국가,수입,한국,국가,시기:2023;수입액:약1억5300만달러
대만,국가,수입,미국,국가,시기:2023;수입액:약38억달러
대만,국가,수입,중국,국가,시기:2023;수입액:약4억660만달러
대만,국가,수입,브라질,국가,시기:2023;수입액:약1억6900만달러
한국,기업,수출,대만,국가,품목명:김;라면;조미김;건조김;즉석라면
대만,국가,수입,한국,국가,시기:2023;수입액:약3,358만달러
한국,품목,수출,대만,국가,품목명:김;라면;조미김;건조김;즉석라면
대만,국가,수입,한국,국가,시기:2023;수입액:약3,358만달러
한국,품목,수출,대만,국가,품목명:라면, 건강라면, 채식라면
대만,국가,수입,한국,국가,시기:2023;수입액:약3,358만달러
대만,국가,수입,한국,국가,시기:2023;수입액:약4억달러
대만,국가,수입,한국,국가,시기:2023;수입액:약4억달러
대만,국가,수입,한국,국가,시기:2023;수입액:약4억달러
대만,국가,수입,한국,국가,시기:2023;수입액:약4억달러
대만,국가,수입,한국,국가,시기:2023;수입액:약4억달러
대만,국가,수입,한국,국가,시기:2023;수입액:약4억달러
대만,국가,수입,한국,국가,시기:2023;수입액:약4억달러
대만,국가,수입,한국,국가,시기:2023;수입액:약4억달러
