엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
말레이시아,국가,수출,한국,국가,시기:2024년;시기:2024년 3월
말레이시아,국가,수입,한국,국가,시기:2024년
말레이시아,국가,수출,중국,국가,시기:2023년
말레이시아,국가,수출,싱가포르,국가,시기:2023년
말레이시아,국가,수출,인도,국가,시기:2023년
말레이시아,국가,수출,일본,국가,시기:2023년
말레이시아,국가,수출,튀르키예,국가,시기:2023년
말레이시아,국가,수출,네덜란드,국가,시기:2023년
말레이시아,국가,수출,필리핀,국가,시기:2023년
말레이시아,국가,수출,케냐,국가,시기:2023년
말레이시아,국가,수출,베트남,국가,시기:2023년
말레이시아,국가,수출,인도네시아,국가,시기:2023년
말레이시아,국가,수출,한국,국가,시기:2023년
말레이시아,국가,수입,인도네시아,국가,시기:2023년
말레이시아,국가,수입,중국,국가,시기:2023년
말레이시아,국가,수입,태국,국가,시기:2023년
말레이시아,국가,수입,인도,국가,시기:2023년
말레이시아,국가,수입,아르헨티나,국가,시기:2023년
말레이시아,국가,수입,호주,국가,시기:2023년
말레이시아,국가,수입,브라질,국가,시기:2023년
말레이시아,국가,수입,미국,국가,시기:2023년
말레이시아,국가,수입,싱가포르,국가,시기:2023년
말레이시아,국가,수입,뉴질랜드,국가,시기:2023년
말레이시아,국가,수입,한국,국가,시기:2023년
한국,국가,수출,말레이시아,국가,시기:2023년
한국,국가,수출,말레이시아,국가,시기:2019년
한국,국가,수출,말레이시아,국가,시기:2020년
한국,국가,수출,말레이시아,국가,시기:2021년
한국,국가,수출,말레이시아,국가,시기:2022년
한국,국가,수출,말레이시아,국가,시기:2023년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
한국,국가,수출,말레이시아,국가,시기:2024년
