엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
멕시코,국가,수출,한국,국가,시기:2024년;수출액:60700000
멕시코,국가,수입,미국,국가,시기:2023년;수입액:2326702970
멕시코,국가,수입,캐나다,국가,시기:2023년;수입액:1327929600
멕시코,국가,수입,브라질,국가,시기:2023년;수입액:1326404400
멕시코,국가,수입,중국,국가,시기:2023년;수입액:461011000
멕시코,국가,수입,스페인,국가,시기:2023년;수입액:439733000
멕시코,국가,수입,칠레,국가,시기:2023년;수입액:319283000
멕시코,국가,수입,페루,국가,시기:2023년;수입액:315626000
멕시코,국가,수입,과테말라,국가,시기:2023년;수입액:215837000
멕시코,국가,수입,영국,국가,시기:2023년;수입액:188739000
멕시코,국가,수입,프랑스,국가,시기:2023년;수입액:185598000
멕시코,국가,수입,한국,국가,시기:2023년;수입액:13242000
멕시코,국가,수출,미국,국가,시기:2023년;수출액:384107700
멕시코,국가,수출,일본,국가,시기:2023년;수출액:87109500
멕시코,국가,수출,캐나다,국가,시기:2023년;수출액:60206000
멕시코,국가,수출,과테말라,국가,시기:2023년;수출액:31321500
멕시코,국가,수출,중국,국가,시기:2023년;수출액:16184200
멕시코,국가,수출,스페인,국가,시기:2023년;수출액:14164300
멕시코,국가,수출,온두라스,국가,시기:2023년;수출액:11987100
멕시코,국가,수출,독일,국가,시기:2023년;수출액:10935300
멕시코,국가,수출,네덜란드,국가,시기:2023년;수출액:10220200
멕시코,국가,수출,도미니카공화국,국가,시기:2023년;수출액:9981200
멕시코,국가,수출,한국,국가,시기:2023년;수출액:6086700
멕시코,국가,수출,멕시코,국가,시기:2019년;수출품목:맥주,수출액:4541285000
멕시코,국가,수출,멕시코,국가,시기:2020년;수출품목:맥주,수출액:4428018000
멕시코,국가,수출,멕시코,국가,시기:2021년;수출품목:맥주,수출액:5015653000
멕시코,국가,수출,멕시코,국가,시기:2022년;수출품목:맥주,수출액:5486279000
멕시코,국가,수출,멕시코,국가,시기:2023년;수출품목:맥주,수출액:5823014000
멕시코,국가,수출,멕시코,국가,시기:2019년;수출품목:아보카도,수출액:2912587000
멕시코,국가,수출,멕시코,국가,시기:2020년;수출품목:아보카도,수출액:2665846000
멕시코,국가,수출,멕시코,국가,시기:2021년;수출품목:아보카도,수출액:3045660000
멕시코,국가,수출,멕시코,국가,시기:2022년;수출품목:아보카도,수출액:3143310000
멕시코,국가,수출,멕시코,국가,시기:2023년;수출품목:아보카도,수출액:2835943000
멕시코,국가,수출,멕시코,국가,시기:2019년;수출품목:신선 토마토,수출액:2163383000
멕시코,국가,수출,멕시코,국가,시기:2020년;수출품목:신선 토마토,수출액:2602278000
멕시코,국가,수출,멕시코,국가,시기:2021년;수출품목:신선 토마토,수출액:2535924000
멕시코,국가,수출,멕시코,국가,시기:2022년;수출품목:신선 토마토,수출액:2682791000
멕시코,국가,수출,멕시코,국가,시기:2023년;수출품목:신선 토마토,수출액:3046994000
멕시코,국가,수입,미국,국가,시기:2023년;수입액:2326729700
멕시코,국가,수입,캐나다,국가,시기:2023년;수입액:1327929600
멕시코,국가,수입,브라질,국가,시기:2023년;수입액:1326404400
멕시코,국가,수입,중국,국가,시기:2023년;수입액:461011000
멕시코,국가,수입,스페인,국가,시기:2023년;수입액:439733000
멕시코,국가,수입,칠레,국가,시기:2023년;수입액:319283000
멕시코,국가,수입,페루,국가,시기:2023년;수입액:315626000
멕시코,국가,수입,과테말라,국가,시기:2023년;수입액:215837000
멕시코,국가,수입,영국,국가,시기:2023년;수입액:188739000
멕시코,국가,수입,프랑스,국가,시기:2023년;수입액:185598000
멕시코,국가,수입,한국,국가,시기:2023년;수입액:13242000
