엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
브라질,국가,수출,대두(기타),품목,수출액:53238561
브라질,국가,수출,옥수수(기타),품목,수출액:13465453
브라질,국가,수출,사탕수수당 기타,품목,수출액:13346416
브라질,국가,수출,대두유 추출 유박,품목,수출액:11498518
브라질,국가,수출,냉동 쇠고기,품목,수출액:8496513
브라질,국가,수출,볶지 않은 커피,품목,수출액:7315354
브라질,국가,수출,절단한냉동닭고기,품목,수출액:6822851
브라질,국가,수출,냉동 돼지고기,품목,수출액:2557659
브라질,국가,수출,사탕수수(기타),품목,수출액:2401582
브라질,국가,수출,대두유(기타),품목,수출액:2246659
브라질,국가,수입,밀(기타),품목,수입액:1292291
브라질,국가,수입,볶지 않은 맥아,품목,수입액:860615
브라질,국가,수입,무첨가 우유·크림,품목,수입액:620129
브라질,국가,수입,엑스트라버진 올리브유,품목,수입액:503968
브라질,국가,수입,포도주(2ℓ 이하),품목,수입액:425990
브라질,국가,수입,감자,품목,수입액:357367
브라질,국가,수입,쌀(정미),품목,수입액:347759
브라질,국가,수입,조제식료품,품목,수입액:345780
브라질,국가,수입,옥수수(기타),품목,수입액:268588
브라질,국가,수입,보리(기타),품목,수입액:244766
한국,국가,수출,조미김,품목,수출액:544000
한국,국가,수출,라면,품목,수출액:126000
한국,국가,수출,식물성 점질물,품목,수출액:53100
한국,국가,수출,영유아맥아조제품(기타),품목,수출액:51000
한국,국가,수출,베이커리 제품,품목,수출액:48000
한국,국가,수출,스위트 비스킷,품목,수출액:43800
한국,국가,수출,색이 첨가된 음료,품목,수출액:42800
한국,국가,수출,아이스크림,품목,수출액:28900
한국,국가,수출,기타리큐르및코디얼,품목,수출액:27700
한국,국가,수출,비스킷류,품목,수출액:24700
브라질,국가,수요증가,스낵,품목,시장규모:55억7000만달러
브라질,국가,수요증가,한국산 스낵,품목,수출액:246800
브라질,국가,수요증가,라면,품목,시장규모:66억8900만헤알
브라질,국가,수요증가,한국 라면,품목,수출액:126만달러
브라질,국가,수요증가,아이스크림,품목,시장규모:181억2680만헤알
브라질,국가,수요증가,한국 아이스크림,품목,수출액:288600
브라질,국가,수요증가,에너지음료,품목,시장규모:119억3000만달러
브라질,국가,수요증가,한국 음료,품목,수출액:42800
브라질,국가,수요증가,영양음료,품목,시장규모,2023년:약 18억달러
브라질,국가,수요증가,한국 건강음료,품목,수출액:없음
브라질,국가,수요증가,영유아식품,품목,시장규모,2023년:18억6620만달러
브라질,국가,수요증가,한국 영유아식품,품목,수출액:없음
