엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
스페인,국가,수출,한국,국가,시기:2024년
스페인,국가,수입,한국,국가,시기:2024년
스페인,국가,수출,프랑스,국가,시기:2023년
스페인,국가,수출,독일,국가,시기:2023년
스페인,국가,수출,포르투갈,국가,시기:2023년
스페인,국가,수출,이탈리아,국가,시기:2023년
스페인,국가,수출,영국,국가,시기:2023년
스페인,국가,수출,네덜란드,국가,시기:2023년
스페인,국가,수출,미국,국가,시기:2023년
스페인,국가,수출,폴란드,국가,시기:2023년
스페인,국가,수출,중국,국가,시기:2023년
스페인,국가,수출,벨기에,국가,시기:2023년
스페인,국가,수출,한국,국가,시기:2023년
한국,국가,수출품목,무알코올음료,품목,시기:2019~2023
한국,국가,수출품목,과실주스음료,품목,시기:2019~2023
한국,국가,수출품목,조미김,품목,시기:2019~2023
한국,국가,수출품목,조제식료품,품목,시기:2019~2023
한국,국가,수출품목,라면,품목,시기:2019~2023
한국,국가,수출품목,기타무알코올음료,품목,시기:2019~2023
한국,국가,수출품목,버섯,품목,시기:2023
한국,국가,수출품목,단백질보충제,품목,시기:2023
한국,국가,수출품목,유기농제품,품목,시기:2023
한국,국가,수출품목,즉석면류,품목,시기:2023
한국,국가,수출품목,발효주(막걸리),품목,시기:2023
한국,국가,수출,스페인,국가,시기:2019~2023
스페인,국가,수입,한국,국가,시기:2019~2023
스페인,국가,수입품목,옥수수,품목,시기:2019~2023
스페인,국가,수입품목,밀,품목,시기:2019~2023
스페인,국가,수입품목,대두,품목,시기:2019~2023
스페인,국가,수입품목,치즈,품목,시기:2019~2023
스페인,국가,수입품목,조제식료품,품목,시기:2019~2023
스페인,국가,수입,프랑스,국가,시기:2023년
스페인,국가,수입,네덜란드,국가,시기:2023년
스페인,국가,수입,독일,국가,시기:2023년
스페인,국가,수입,포르투갈,국가,시기:2023년
스페인,국가,수입,브라질,국가,시기:2023년
스페인,국가,수입,우크라이나,국가,시기:2023년
스페인,국가,수입,이탈리아,국가,시기:2023년
스페인,국가,수입,미국,국가,시기:2023년
스페인,국가,수입,벨기에,국가,시기:2023년
스페인,국가,수입,폴란드,국가,시기:2023년
스페인,국가,수입,한국,국가,시기:2023년
스페인,국가,수입품목,옥수수,품목,시기:2019~2023
스페인,국가,수입품목,밀,품목,시기:2019~2023
스페인,국가,수입품목,대두,품목,시기:2019~2023
스페인,국가,수입품목,치즈,품목,시기:2019~2023
스페인,국가,수입품목,조제식료품,품목,시기:2019~2023
스페인,국가,수입,한국,국가,시기:2019~2023
스페인,국가,수입품목,버섯,품목,시기:2023
스페인,국가,수입품목,단백질보충제,품목,시기:2023
스페인,국가,수입품목,유기농제품,품목,시기:2023
스페인,국가,수입품목,즉석면류,품목,시기:2023
스페인,국가,수입품목,발효주(막걸리),품목,시기:2023
스페인,국가,수입,한국,국가,시기:2019~2023
스페인,국가,수출,한국,국가,시기:2019~2023
스페인,국가,수출품목,무알코올음료,품목,시기:2019~2023
스페인,국가,수출품목,과실주스음료,품목,시기:2019~2023
스페인,국가,수출품목,조미김,품목,시기:2019~2023
스페인,국가,수출품목,조제식료품,품목,시기:2019~2023
스페인,국가,수출품목,라면,품목,시기:2019~2023
스페인,국가,수출품목,버섯,품목,시기:2023
스페인,국가,수출품목,발효주(막걸리),품목,시기:2023
스페인,국가,수출품목,즉석면류,품목,시기:2023
스페인,국가,수출,한국,국가,시기:2019~2023
