엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
우즈베키스탄,국가,수출,한국,기업,수출액:1069만달러;시기:2023년;품목:농산물
밀·메슬린 가루,품목,수출,우즈베키스탄,국가,수출액:26853만달러;시기:2022년;품목:곡물
신선 포도,품목,수출,우즈베키스탄,국가,수출액:19608만달러;시기:2022년;품목:과일
건조채두류(기타),품목,수출,우즈베키스탄,국가,수출액:1015만달러;시기:2022년;품목:건조채류
녹두,품목,수출,우즈베키스탄,국가,수출액:9847만달러;시기:2022년;품목:곡물
밀(기타),품목,수입,우즈베키스탄,국가,수입액:7326만달러;시기:2022년;품목:곡물
사탕무당의 당,품목,수입,우즈베키스탄,국가,수입액:46445만달러;시기:2022년;품목:당류
마가린(기타),품목,수입,우즈베키스탄,국가,수입액:21122만달러;시기:2022년;품목:유지류
냉장 쇠고기,품목,수입,우즈베키스탄,국가,수입액:16250만달러;시기:2022년;품목:축산물
한국,기업,수출,우즈베키스탄,국가,수출액:1070만달러;시기:2023년;품목:농산물
라면,품목,수출,한국,기업,수출액:182만달러;시기:2023년;품목:가공식품
조미김,품목,수출,한국,기업,수출액:25만달러;시기:2023년;품목:가공식품
한국,기업,수입,우즈베키스탄,국가,수입액:500만달러;시기:2022년;품목:농산물
러시아,국가,수출,우즈베키스탄,국가,수출액:57576만달러;시기:2022년;품목:식품
우즈베키스탄,국가,시장,한국,기업,시장규모:3억8200만달러;시기:2023년
우즈베키스탄,국가,시장,러시아,국가,시장규모:5억756만달러;시기:2022년
우즈베키스탄,국가,시장,중국,국가,시장규모:1억6613만달러;시기:2022년
우즈베키스탄,국가,시장,한국,기업,수출액:575만달러;시기:2022년
우즈베키스탄,국가,시장,러시아,국가,수출액:57576만달러;시기:2022년
우즈베키스탄,국가,시장,중국,국가,수출액:16613만달러;시기:2022년
