엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
이탈리아,국가,수출,포도주(2ℓ 이하),품목,수출액:5552630
이탈리아,국가,수출,조리 하지않은기타파스타,품목,수출액:3072666
이탈리아,국가,수출,빵(기타),품목,수출액:2542982
이탈리아,국가,수출,볶은 커피,품목,수출액:2442103
이탈리아,국가,수출,치즈(기타),품목,수출액:2404048
이탈리아,국가,수출,포도주(2ℓ 이하),품목,수출액:5512630
이탈리아,국가,수출,조리 하지않은기타파스타,품목,수출액:3072666
이탈리아,국가,수출,빵(기타),품목,수출액:2542982
이탈리아,국가,수출,볶은 커피,품목,수출액:2442103
이탈리아,국가,수출,치즈(기타),품목,수출액:2404048
이탈리아,국가,수입,볶지않은 커피,품목,수입액:21533532
이탈리아,국가,수입,엑스트라버진올리브유,품목,수입액:20548070
이탈리아,국가,수입,옥수수(기타),품목,수입액:18471790
이탈리아,국가,수입,돼지 넓적다리살,품목,수입액:15817546
이탈리아,국가,수입,밀(기타),품목,수입액:15496987
이탈리아,국가,수입,치즈(기타),품목,수입액:14954220
이탈리아,국가,수입,대두(기타),품목,수입액:13387650
이탈리아,국가,수입,사과,품목,수입액:16100000
이탈리아,국가,수입,포도,품목,수입액:15700000
이탈리아,국가,수입,감자,품목,수입액:15000000
이탈리아,국가,수입,유자,품목,수입액:1760000
이탈리아,국가,수입,김,품목,수입액:950000
이탈리아,국가,수입,조미김,품목,수입액:950000
이탈리아,국가,수입,라면,품목,수입액:590000
이탈리아,국가,수입,인스턴트면류(기타),품목,수입액:1381000
이탈리아,국가,수입,빵(기타),품목,수입액:2542982
이탈리아,국가,수입,볶은 커피,품목,수입액:2442103
이탈리아,국가,수입,치즈(기타),품목,수입액:1495422
이탈리아,국가,수입,포도,품목,수입액:1570000
이탈리아,국가,수입,감자,품목,수입액:1500000
이탈리아,국가,수입,유자,품목,수입액:176000
이탈리아,국가,수입,김,품목,수입액:95000
이탈리아,국가,수입,조미김,품목,수입액:95000
이탈리아,국가,수입,라면,품목,수입액:59000
이탈리아,국가,수입,인스턴트면류(기타),품목,수입액:138100
이탈리아,국가,수입,쌀(백미 및 현미),품목,수입액:1500000
이탈리아,국가,수입,맥류,품목,수입액:1500000
이탈리아,국가,수입,수수,품목,수입액:1500000
이탈리아,국가,수입,두류,품목,수입액:1500000
이탈리아,국가,수입,감,품목,수입액:1500000
이탈리아,국가,수입,포도,품목,수입액:1570000
이탈리아,국가,수입,참다래,품목,수입액:1500000
이탈리아,국가,수입,밤,품목,수입액:1500000
이탈리아,국가,수입,딸기,품목,수입액:1500000
이탈리아,국가,수입,블루베리,품목,수입액:1500000
이탈리아,국가,수입,무,품목,수입액:1500000
이탈리아,국가,수입,배추,품목,수입액:1500000
이탈리아,국가,수입,양배추,품목,수입액:1500000
이탈리아,국가,수입,청경채,품목,수입액:1500000
이탈리아,국가,수입,당근,품목,수입액:1500000
이탈리아,국가,수입,양파,품목,수입액:1500000
이탈리아,국가,수입,마늘,품목,수입액:1500000
이탈리아,국가,수입,파,품목,수입액:1500000
이탈리아,국가,수입,호박,품목,수입액:1500000
이탈리아,국가,수입,오이,품목,수입액:1500000
이탈리아,국가,수입,참외,품목,수입액:1500000
이탈리아,국가,수입,송이,품목,수입액:1500000
이탈리아,국가,수입,표고,품목,수입액:1500000
이탈리아,국가,수입,느타리,품목,수입액:1500000
이탈리아,국가,수입,팽이,품목,수입액:1500000
이탈리아,국가,수입,영지,품목,수입액:1500000
이탈리아,국가,수입,새송이,품목,수입액:1500000
이탈리아,국가,수입,양송이,품목,수입액:1500000
이탈리아,국가,수입,만가닥,품목,수입액:1500000
이탈리아,국가,수입,식물에 부착된 재배매체,품목,수입액:1500000
이탈리아,국가,수입,분재류,품목,수입액:1500000
이탈리아,국가,수입,다육식물묘,품목,수입액:1500000
이탈리아,국가,수입,종자,품목,수입액:1500000
이탈리아,국가,수입,고추,품목,수입액:1500000
이탈리아,국가,수입,가지,품목,수입액:1500000
