엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도,국가,생산,사탕수수,농산물,국가:인도;시기:2024년
인도,국가,생산,쌀,농산물,국가:인도;시기:2024년
인도,국가,생산,우유,농산물,국가:인도;시기:2024년
인도,국가,생산,밀,농산물,국가:인도;시기:2024년
인도,국가,생산,들소젖,농산물,국가:인도;시기:2024년
인도,국가,생산,감자,농산물,국가:인도;시기:2024년
인도,국가,생산,채소,농산물,국가:인도;시기:2024년
인도,국가,생산,바나나,농산물,국가:인도;시기:2024년
인도,국가,생산,옥수수,농산물,국가:인도;시기:2024년
인도,국가,생산,양파,농산물,국가:인도;시기:2024년
인도,국가,수출,쌀(정미),수출품목,국가:인도;시기:2023
인도,국가,수출,냉동 쇠고기,수출품목,국가:인도;시기:2023
인도,국가,수출,사탕수수(기타),수출품목,국가:인도;시기:2023
인도,국가,수출,사탕수수당(기타),수출품목,국가:인도;시기:2023
인도,국가,수출,대두유 추출 유박,수출품목,국가:인도;시기:2023
인도,국가,수출,건조 고추류,수출품목,국가:인도;시기:2023
인도,국가,수출,파자마유 및 분획물,수출품목,국가:인도;시기:2023
인도,국가,수출,탈각 땅콩,수출품목,국가:인도;시기:2023
인도,국가,수출,볶지 않은 커피,수출품목,국가:인도;시기:2023
인도,국가,수출,조제식료품,수출품목,국가:인도;시기:2023
한국,기업,수출,라면,수출품목,기업:한국;시기:2023
한국,기업,수출,인스턴트 커피,수출품목,기업:한국;시기:2023
한국,기업,수출,소스 조제품(기타),수출품목,기업:한국;시기:2023
한국,기업,수출,조제식료품(기타),수출품목,기업:한국;시기:2023
한국,기업,수출,베이커리 제품,수출품목,기업:한국;시기:2023
인도,시장,수요,한국산 라면,품목,국가:인도;시기:2023
인도,시장,수요,한국산 인스턴트 커피,품목,국가:인도;시기:2023
인도,시장,수요,한국산 소스류,품목,국가:인도;시기:2023
인도,시장,수요,한국산 영유아식품,품목,국가:인도;시기:2023
인도,시장,수요,한국산 영양보조식품,품목,국가:인도;시기:2023
인도,시장,수요,한국산 건강식품,품목,국가:인도;시기:2023
인도,시장,수요,한국산 제로웨이스트 식품,품목,국가:인도;시기:2023
인도,시장,수요,한국산 비건 식품,품목,국가:인도;시기:2023
인도,시장,수요,한국산 가공식품,품목,국가:인도;시기:2023
인도,시장,수요,한국산 건강간편식,품목,국가:인도;시기:2023
인도,시장,수요,한국산 전통식품,품목,국가:인도;시기:2023
