엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
카자흐스탄,국가,수출,밀,품목,수출액:1619013
카자흐스탄,국가,수출,우즈베키스탄,국가,수출액:1524196
카자흐스탄,국가,수출,중국,국가,수출액:1012742
카자흐스탄,국가,수출,아프가니스탄,국가,수출액:551828
카자흐스탄,국가,수출,러시아,국가,수출액:463561
카자흐스탄,국가,수출,타지키스탄,국가,수출액:446640
카자흐스탄,국가,수출,키르기스스탄,국가,수출액:277049
카자흐스탄,국가,수출,투르크메니스탄,국가,수출액:210385
카자흐스탄,국가,수출,튀르키예,국가,수출액:190762
카자흐스탄,국가,수출,이탈리아,국가,수출액:177511
카자흐스탄,국가,수출,이란,국가,수출액:81884
카자흐스탄,국가,수출,한국,국가,수출액:723
밀,품목,수출,카자흐스탄,국가,수출액:1601913
밀가루,품목,수출,카자흐스탄,국가,수출액:579673
해바라기씨유,품목,수출,카자흐스탄,국가,수출액:278048
보리,품목,수출,카자흐스탄,국가,수출액:263958
듀럼종밀,품목,수출,카자흐스탄,국가,수출액:248814
아마씨,품목,수출,카자흐스탄,국가,수출액:227702
밀(기타),품목,수출,카자흐스탄,국가,수출액:1601913
밀가루,품목,수출,카자흐스탄,국가,수출액:579673
해바라기씨유,품목,수출,카자흐스탄,국가,수출액:278048
보리,품목,수출,카자흐스탄,국가,수출액:263958
듀럼종밀,품목,수출,카자흐스탄,국가,수출액:248814
한국,국가,수출,카자흐스탄,국가,수출액:3626000
조제식료품(기타),품목,수출,한국,국가,수출액:733300
라면,품목,수출,한국,국가,수출액:854400
커피크리머,품목,수출,한국,국가,수출액:387600
베이커리 제품,품목,수출,한국,국가,수출액:156900
조미김,품목,수출,한국,국가,수출액:127000
한국산 커피,품목,수출,카자흐스탄,국가,수출액:388000
카자흐스탄,국가,수입,러시아,국가,수입액:3052354
카자흐스탄,국가,수입,중국,국가,수입액:385087
카자흐스탄,국가,수입,우즈베키스탄,국가,수입액:226623
카자흐스탄,국가,수입,벨라루스,국가,수입액:208134
카자흐스탄,국가,수입,미국,국가,수입액:167919
카자흐스탄,국가,수입,우크라이나,국가,수입액:133137
카자흐스탄,국가,수입,튀르키예,국가,수입액:131443
카자흐스탄,국가,수입,이탈리아,국가,수입액:122403
카자흐스탄,국가,수입,브라질,국가,수입액:103171
카자흐스탄,국가,수입,한국,국가,수입액:30591
밀(기타),품목,수입,카자흐스탄,국가,수입액:297483
조제식료품,품목,수입,카자흐스탄,국가,수입액:276266
사탕수수(기타),품목,수입,카자흐스탄,국가,수입액:212835
감미료가 첨가된 물,품목,수입,카자흐스탄,국가,수입액:191547
초콜릿(기타),품목,수입,카자흐스탄,국가,수입액:172538
수출,카자흐스탄,수출,우즈베키스탄,국가,수출액:1524196
수출,카자흐스탄,수출,중국,국가,수출액:1012742
수출,카자흐스탄,수출,아프가니스탄,국가,수출액:551828
수출,카자흐스탄,수출,러시아,국가,수출액:463561
수출,카자흐스탄,수출,타지키스탄,국가,수출액:446640
수출,카자흐스탄,수출,키르기스스탄,국가,수출액:277049
수출,카자흐스탄,수출,투르크메니스탄,국가,수출액:210385
수출,카자흐스탄,수출,튀르키예,국가,수출액:190762
수출,카자흐스탄,수출,이탈리아,국가,수출액:177511
수출,카자흐스탄,수출,이란,국가,수출액:81884
수출,카자흐스탄,수출,한국,국가,수출액:723
수입,카자흐스탄,수입,러시아,국가,수입액:3052354
수입,카자흐스탄,수입,중국,국가,수입액:385087
수입,카자흐스탄,수입,우즈베키스탄,국가,수입액:226623
수입,카자흐스탄,수입,벨라루스,국가,수입액:208134
수입,카자흐스탄,수입,미국,국가,수입액:167919
수입,카자흐스탄,수입,우크라이나,국가,수입액:133137
수입,카자흐스탄,수입,튀르키예,국가,수입액:131443
수입,카자흐스탄,수입,이탈리아,국가,수입액:122403
수입,카자흐스탄,수입,브라질,국가,수입액:103171
한국,국가,수출,카자흐스탄,국가,수출액:3626000
밀,품목,수출,카자흐스탄,국가,수출액:1601913
밀가루,품목,수출,카자흐스탄,국가,수출액:579673
해바라기씨유,품목,수출,카자흐스탄,국가,수출액:278048
보리,품목,수출,카자흐스탄,국가,수출액:263958
듀럼종밀,품목,수출,카자흐스탄,국가,수출액:248814
