엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
콜롬비아,국가,수출,한국,국가,시기:2024년;품목:수출품목
콜롬비아,국가,수입,한국,국가,시기:2024년;품목:수입품목
콜롬비아,국가,생산,사탕수수,농산물,시기:2022년
콜롬비아,국가,생산,야자유수,농산물,시기:2022년
콜롬비아,국가,생산,우유,농산물,시기:2022년
콜롬비아,국가,생산,쌀,농산물,시기:2022년
콜롬비아,국가,생산,감자,농산물,시기:2022년
콜롬비아,국가,생산,바나나,농산물,시기:2022년
콜롬비아,국가,생산,플랜틴,농산물,시기:2022년
콜롬비아,국가,생산,옥수수,농산물,시기:2022년
콜롬비아,국가,생산,닭고기,농산물,시기:2022년
콜롬비아,국가,생산,아보카도,농산물,시기:2022년
콜롬비아,국가,수출,볶지 않은 커피,수출품목,시기:2023년
콜롬비아,국가,수출,바나나(기타),수출품목,시기:2023년
콜롬비아,국가,수출,커피 농축물,수출품목,시기:2023년
콜롬비아,국가,수출,팜유(조유),수출품목,시기:2023년
콜롬비아,국가,수출,사탕수수(기타),수출품목,시기:2023년
콜롬비아,국가,수입,옥수수(기타),수입품목,시기:2023년
콜롬비아,국가,수입,대두유 추출 유박,수입품목,시기:2023년
콜롬비아,국가,수입,밀(기타),수입품목,시기:2023년
콜롬비아,국가,수입,냉동 돼지고기,수입품목,시기:2023년
콜롬비아,국가,수입,조제식료품,수입품목,시기:2023년
콜롬비아,국가,수입,대두(기타),수입품목,시기:2023년
콜롬비아,국가,수입,볶지않은 커피,수입품목,시기:2023년
콜롬비아,국가,수입,대두유(기타),수입품목,시기:2023년
콜롬비아,국가,수입,사탕수수(기타),수입품목,시기:2023년
한국,기업,수출,콜롬비아,국가,품목:농산물;시기:2019-2023
한국,기업,수출,콜롬비아,국가,품목:임산물;시기:2019-2023
한국,기업,수출,콜롬비아,국가,품목:수산물;시기:2019-2023
한국,기업,수출,콜롬비아,국가,품목:축산물;시기:2019-2023
볶지 않은 커피,수출품목,대체품,커피 농축물,품목,시기:2023년
바나나(기타),수출품목,대체품,사탕수수(기타),품목,시기:2023년
커피 농축물,수출품목,대체품,볶지 않은 커피,품목,시기:2023년
팜유(조유),수출품목,대체품,사탕수수(기타),품목,시기:2023년
사탕수수(기타),수출품목,대체품,팜유(조유),품목,시기:2023년
콜롬비아,국가,생산,커피 농축물,농산물,시기:2022년
콜롬비아,국가,생산,바나나,농산물,시기:2022년
콜롬비아,국가,생산,사탕수수,농산물,시기:2022년
콜롬비아,국가,생산,옥수수,농산물,시기:2022년
콜롬비아,국가,생산,우유,농산물,시기:2022년
콜롬비아,국가,생산,감자,농산물,시기:2022년
콜롬비아,국가,생산,바나나,농산물,시기:2022년
콜롬비아,국가,생산,플랜틴,농산물,시기:2022년
