엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
튀르키예,국가,수출,한국,국가,시기:2024년
튀르키예,국가,수출,이란,국가,시기:2023년
튀르키예,국가,수출,독일,국가,시기:2023년
튀르키예,국가,수출,미국,국가,시기:2023년
튀르키예,국가,수출,이탈리아,국가,시기:2023년
튀르키예,국가,수출,러시아,국가,시기:2023년
튀르키예,국가,수출,한국,국가,시기:2023년
튀르키예,국가,수출,시리아,국가,시기:2023년
튀르키예,국가,수출,네덜란드,국가,시기:2023년
튀르키예,국가,수출,스페인,국가,시기:2023년
튀르키예,국가,수출,프랑스,국가,시기:2023년
튀르키예,국가,수출,아르헨티나,국가,시기:2023년
튀르키예,국가,수출,캐나다,국가,시기:2023년
튀르키예,국가,수출,일본,국가,시기:2023년
튀르키예,국가,수출,한국,국가,시기:2023년
튀르키예,국가,수입,러시아,국가,시기:2023년
튀르키예,국가,수입,우크라이나,국가,시기:2023년
튀르키예,국가,수입,브라질,국가,시기:2023년
튀르키예,국가,수입,미국,국가,시기:2023년
튀르키예,국가,수입,말레이시아,국가,시기:2023년
튀르키예,국가,수입,독일,국가,시기:2023년
튀르키예,국가,수입,아르헨티나,국가,시기:2023년
튀르키예,국가,수입,네덜란드,국가,시기:2023년
튀르키예,국가,수입,프랑스,국가,시기:2023년
튀르키예,국가,수입,캐나다,국가,시기:2023년
튀르키예,국가,수입,한국,국가,시기:2023년
한국,국가,수출,튀르키예,국가,시기:2023년
한국,국가,수출,이란,국가,시기:2023년
한국,국가,수출,독일,국가,시기:2023년
한국,국가,수출,미국,국가,시기:2023년
한국,국가,수출,이탈리아,국가,시기:2023년
한국,국가,수출,네덜란드,국가,시기:2023년
한국,국가,수출,스페인,국가,시기:2023년
한국,국가,수출,프랑스,국가,시기:2023년
한국,국가,수출,캐나다,국가,시기:2023년
한국,국가,수출,튀르키예,국가,시기:2023년
한국,국가,수입,튀르키예,국가,시기:2023년
한국,국가,수입,러시아,국가,시기:2023년
한국,국가,수입,우크라이나,국가,시기:2023년
한국,국가,수입,브라질,국가,시기:2023년
한국,국가,수입,미국,국가,시기:2023년
한국,국가,수입,말레이시아,국가,시기:2023년
한국,국가,수입,네덜란드,국가,시기:2023년
한국,국가,수입,프랑스,국가,시기:2023년
한국,국가,수입,캐나다,국가,시기:2023년
