엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
필리핀,국가,수출국,한국,국가,시기:2024년
필리핀,국가,수입국,미국,국가,시기:2023년
필리핀,국가,수입국,일본,국가,시기:2023년
필리핀,국가,수입국,중국,국가,시기:2023년
필리핀,국가,수입국,베트남,국가,시기:2023년
필리핀,국가,수입국,인도네시아,국가,시기:2023년
필리핀,국가,수입국,호주,국가,시기:2023년
필리핀,국가,수입국,태국,국가,시기:2023년
필리핀,국가,수입국,말레이시아,국가,시기:2023년
필리핀,국가,수입국,브라질,국가,시기:2023년
필리핀,국가,수입국,캐나다,국가,시기:2023년
필리핀,국가,수입국,한국,국가,시기:2023년
한국,국가,수출국,필리핀,국가,시기:2023년
한국,국가,수출품목,라면,품목,시기:2023년
한국,국가,수출품목,조제식료품(기타),품목,시기:2023년
한국,국가,수출품목,조미김,품목,시기:2023년
한국,국가,수출품목,아이스크림,품목,시기:2023년
한국,국가,수출품목,조제·보존돼지고기(기타),품목,시기:2023년
한국,국가,수출액,약 4억 6374만달러,금액,시기:2023년
필리핀,국가,수입품,밀(기타),품목,시기:2023년
필리핀,국가,수입품,대두유추출유박,품목,시기:2023년
필리핀,국가,수입품,쌀(정미),품목,시기:2023년
필리핀,국가,수입품,조제식료품,품목,시기:2023년
필리핀,국가,수입품,팜유(기타),품목,시기:2023년
필리핀,국가,수입품,사탕수수(기타),품목,시기:2023년
필리핀,국가,수입품,고체우유,품목,시기:2023년
필리핀,국가,수입품,절단한냉동닭고기,품목,시기:2023년
필리핀,국가,수입품,냉동돼지고기,품목,시기:2023년
필리핀,국가,수입품,냉동쇠고기,품목,시기:2023년
한국,국가,수출국,필리핀,국가,시기:2023년
한국,국가,수출품목,라면,품목,시기:2023년
한국,국가,수출품목,조제식료품(기타),품목,시기:2023년
한국,국가,수출품목,조미김,품목,시기:2023년
한국,국가,수출품목,아이스크림,품목,시기:2023년
한국,국가,수출품목,조제·보존돼지고기(기타),품목,시기:2023년
필리핀,국가,수출액,약 27억달러,금액,시기:2023년
필리핀,국가,시장규모,전체,시기:2023년
필리핀,국가,시장규모,베이커리 및 곡물류,시기:2023년
필리핀,국가,시장규모,육류,시기:2023년
필리핀,국가,시장규모,수산물,시기:2023년
필리핀,국가,1인당 식품 소비액,1090달러,시기:2023년
필리핀,국가,1인당 식품 소비량,399kg,시기:2023년
필리핀,국가,식품 시장 성장률,연평균 9.4%,시기:2019~2023
필리핀,국가,수출액,약 6억4733만달러,시기:2023년
필리핀,국가,수입액,약 18억6927만달러,시기:2023년
필리핀,국가,수출품목,바나나(기타),품목,시기:2023년
필리핀,국가,수출품목,팜유(조유),품목,시기:2023년
필리핀,국가,수출품목,야자유(기타),품목,시기:2023년
필리핀,국가,수출품목,파인애플,품목,시기:2023년
필리핀,국가,수출품목,식물성추출물(기타),품목,시기:2023년
필리핀,국가,수출액,약 12억달러,시기:2023년
필리핀,국가,수입품목,밀(기타),품목,시기:2023년
필리핀,국가,수입품목,대두유추출유박,품목,시기:2023년
필리핀,국가,수입품목,쌀(정미),품목,시기:2023년
필리핀,국가,수입품목,조제식료품,품목,시기:2023년
필리핀,국가,수입품목,팜유(기타),품목,시기:2023년
필리핀,국가,수입품목,사탕수수(기타),품목,시기:2023년
필리핀,국가,수입품목,고체우유,품목,시기:2023년
필리핀,국가,수입품목,절단한냉동닭고기,품목,시기:2023년
필리핀,국가,수입품목,냉동돼지고기,품목,시기:2023년
필리핀,국가,수입품목,냉동쇠고기,품목,시기:2023년
