엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,수출국,중국,국가,국가:중국;시기:2024년 3월
호주,국가,수출국,미국,국가,국가:미국;시기:2024년 3월
호주,국가,수출국,일본,국가,국가:일본;시기:2024년 3월
호주,국가,수출국,한국,국가,국가:한국;시기:2024년 3월
호주,국가,수출국,베트남,국가,국가:베트남;시기:2024년 3월
호주,국가,수출국,인도네시아,국가,국가:인도네시아;시기:2024년 3월
호주,국가,수출국,뉴질랜드,국가,국가:뉴질랜드;시기:2024년 3월
호주,국가,수출국,태국,국가,국가:태국;시기:2024년 3월
호주,국가,수출국,필리핀,국가,국가:필리핀;시기:2024년 3월
호주,국가,수출국,아랍에미리트,국가,국가:아랍에미리트;시기:2024년 3월
호주,국가,수출품목,밀(기타),품목,품목:밀(기타);시기:2024년 3월
호주,국가,수출품목,냉동 쇠고기,품목,품목:냉동 쇠고기;시기:2024년 3월
호주,국가,수출품목,유채씨(기타),품목,품목:유채씨(기타);시기:2024년 3월
호주,국가,수출품목,신선 냉장 쇠고기,품목,품목:신선 냉장 쇠고기;시기:2024년 3월
호주,국가,수출품목,보리(기타),품목,품목:보리(기타);시기:2024년 3월
호주,국가,수출품목,절단한 냉동 양고기,품목,품목:절단한 냉동 양고기;시기:2024년 3월
호주,국가,수출품목,렌즈콩,품목,품목:렌즈콩;시기:2024년 3월
호주,국가,수출품목,포도주(2ℓ 이하),품목,품목:포도주(2ℓ 이하);시기:2024년 3월
호주,국가,수출품목,수수(기타),품목,품목:수수(기타);시기:2024년 3월
호주,국가,수출품목,조제식료품,품목,품목:조제식료품;시기:2024년 3월
호주,국가,수입국,한국,국가,국가:한국;시기:2024년 3월
호주,국가,수입국,중국,국가,국가:중국;시기:2024년 3월
호주,국가,수입국,미국,국가,국가:미국;시기:2024년 3월
호주,국가,수입국,일본,국가,국가:일본;시기:2024년 3월
호주,국가,수입국,태국,국가,국가:태국;시기:2024년 3월
호주,국가,수입국,이탈리아,국가,국가:이탈리아;시기:2024년 3월
호주,국가,수입국,프랑스,국가,국가:프랑스;시기:2024년 3월
호주,국가,수입국,싱가포르,국가,국가:싱가포르;시기:2024년 3월
호주,국가,수입국,네덜란드,국가,국가:네덜란드;시기:2024년 3월
호주,국가,수입국,말레이시아,국가,국가:말레이시아;시기:2024년 3월
호주,국가,수입국,영국,국가,국가:영국;시기:2024년 3월
호주,국가,수입국,한국,국가,국가:한국;시기:2024년 3월
호주,국가,수입품목,조제식료품,품목,품목:조제식료품;시기:2024년 3월
호주,국가,수입품목,빵(기타),품목,품목:빵(기타);시기:2024년 3월
호주,국가,수입품목,냉동 돼지고기,품목,품목:냉동 돼지고기;시기:2024년 3월
호주,국가,수입품목,볶지 않은 커피,품목,품목:볶지 않은 커피;시기:2024년 3월
호주,국가,수입품목,치즈(기타),품목,품목:치즈(기타);시기:2024년 3월
호주,국가,수입품목,소스(기타),품목,품목:소스(기타);시기:2024년 3월
호주,국가,수입품목,대두유 추출 유박,품목,품목:대두유 추출 유박;시기:2024년 3월
호주,국가,수입품목,위스키류,품목,품목:위스키류;시기:2024년 3월
호주,국가,수입품목,감미료가 첨가된,품목,품목:감미료가 첨가된;시기:2024년 3월
호주,국가,수입품목,포도주(2ℓ 이하),품목,품목:포도주(2ℓ 이하);시기:2024년 3월
호주,국가,수입품목,임산물,품목,품목:임산물;시기:2024년 3월
호주,국가,수입품목,농산물,품목,품목:농산물;시기:2024년 3월
호주,국가,수입품목,수산물,품목,품목:수산물;시기:2024년 3월
호주,국가,수입품목,축산물,품목,품목:축산물;시기:2024년 3월
호주,국가,수입품목,이매패류,품목,품목:이매패류;시기:2024년 3월
호주,국가,수입품목,이매패류 제품,품목,품목:이매패류 제품;시기:2024년 3월
호주,국가,수입품목,버섯 분말,품목,품목:버섯 분말;시기:2024년 3월
호주,국가,수입품목,통조림 및 밀폐 포장 식품,품목,품목:통조림 및 밀폐 포장 식품;시기:2024년 3월
호주,국가,수입품목,비조리 즉석 섭취 베리 및 석류,품목,품목:비조리 즉석 섭취 베리 및 석류;시기:2024년 3월
호주,국가,수입품목,절인 과일 및 채소,품목,품목:절인 과일 및 채소;시기:2024년 3월
호주,국가,수입품목,면류,품목,품목:면류;시기:2024년 3월
호주,국가,수입품목,효소(가공보조제),품목,품목:효소(가공보조제);시기:2024년 3월
