엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
국내 식품제조업,산업,경기현황,2025년 2분기 경기전반,지수,지수값:86.7;시기:2025년 2분기
소비자,개인,소비량감소,국내 식품제조업,산업,이유:소비량감소;비율:54.8%
국제정세,국가,악화,국내 식품제조업,산업,이유:국제정세악화;비율:29.2%
환경적요인,요인,악화,국내 식품제조업,산업,이유:환경적요인;비율:6.6%
생산규모,지표,상승,2025년 2분기 생산,지수,94.0
생산설비가동률,지표,상승,2025년 2분기 생산,지수,95.3
매출액,지표,상승,2025년 2분기,지수,90.8
내수판매,지표,상승,2025년 2분기,지수,89.5
수출판매,지표,상승,2025년 2분기,지수,92.0
영업이익,지표,상승,2025년 2분기,지수,87.6
원자재구입가격,지표,하락,2025년 2분기,지수,124.7
제품출고가격,지표,하락,2025년 2분기,지수,102.6
자금사정,지표,상승,2025년 2분기,지수,93.8
고용,지표,상승,2025년 2분기,지수,100.4
제품재고,지표,상승,2025년 2분기,지수,105.0
생산설비,지표,상승,2025년 2분기,지수,100.1
설비투자,지표,상승,2025년 2분기,지수,109.8
R&D투자,지표,상승,2025년 2분기,지수,102.5
국내 식품제조업,산업,경기전망,2025년 3분기 경기전망,지수,100.1
소비자,개인,소비량감소,국내 식품제조업,산업,이유:소비량감소;비율:55.1%
국제정세,국가,악화,국내 식품제조업,산업,이유:국제정세악화;비율:16.6%
환경적요인,요인,악화,국내 식품제조업,산업,이유:환경적요인;비율:13.9%
생산규모,지표,상승,2025년 3분기 생산,지수,101.5
생산설비가동률,지표,상승,2025년 3분기 생산,지수,101.4
매출액,지표,상승,2025년 3분기,지수,101.5
내수판매,지표,상승,2025년 3분기,지수,100.8
수출판매,지표,상승,2025년 3분기,지수,101.0
영업이익,지표,상승,2025년 3분기,지수,99.1
원자재구입가격,지표,하락,2025년 3분기,지수,106.7
제품출고가격,지표,하락,2025년 3분기,지수,100.7
자금사정,지표,상승,2025년 3분기,지수,101.8
고용,지표,하락,2025년 3분기,지수,99.9
제품재고,지표,상승,2025년 3분기,지수,101.0
생산설비,지표,하락,2025년 3분기,지수,99.2
설비투자,지표,상승,2025년 3분기,지수,102.4
R&D투자,지표,하락,2025년 3분기,지수,99.5
