엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
UAE,국가,수출 대상,비건 냉동만두,품목,시기:2024년
비건냉동만두,품목,생산지,한국,국가,원산지:한국
UAE,국가,시장,비건 냉동만두,품목,시기:2024년
플랜트럽 비건만두,품목,제품명,고객사 제품,품목,제품명:플랜트럽 비건만두
플랜트럽 비건만두,품목,제품 종류,비건 냉동만두,품목,제품 종류:비건 냉동만두
플랜트럽 비건만두,품목,가격,22.00디르함,속성,가격:22.00디르함
플랜트럽 비건만두,품목,중량,3308,속성,중량:3308
플랜트럽 비건만두,품목,포장 형태,플라스틱 백,속성,포장 형태:플라스틱 백
UAE,국가,시장,비건 냉동만두,품목,시기:2024년
아마존,온라인쇼핑몰,판매,비건 냉동만두,품목,판매처:아마존
루루,온라인쇼핑몰,판매,비건 냉동만두,품목,판매처:루루
1004 고메,오프라인매장,판매,비건 냉동만두,품목,판매처:1004 고메
히포 마켓,오프라인매장,판매,비건 냉동만두,품목,판매처:히포 마켓
경쟁제품,제품,비교,비건 냉동만두,품목,경쟁제품
C사,제조사,생산,비건 냉동만두,품목,제조사:C사
F사,제조사,생산,비건 냉동만두,품목,제조사:F사
B사,제조사,생산,비건 냉동만두,품목,제조사:B사
원산지,국가,공통,한국,국가,원산지:한국
포장,형태,공통,비닐 파우치,속성,포장:비닐 파우치
유통기한,기간,공통,12개월,속성,유통기한:12개월
가격,금액,공통,22.00디르함,속성,가격:22.00디르함
중량,무게,공통,330g,속성,중량:330g
홍보문구,내용,공통,비건 식품에 대한 인식을 깨는 뛰어난 맛,속성,슬로건:비건 식품에 대한 인식을 깨는 뛰어난 맛
원료,성분,공통,채소 36%,속성,원료:채소 36%
인증,여부,공통,한국 비건인증원,속성,인증:한국 비건인증원
유통경로,경로,공통,온라인 및 오프라인 유통,속성,유통경로:온라인 및 오프라인
시장,지역,공통,UAE,국가,지역:UAE
경쟁제품,제품,비교,버섯왕교자,품목,경쟁제품
경쟁제품,제품,비교,김치왕교자,품목,경쟁제품
경쟁제품,제품,비교,담백한 야채왕교자,품목,경쟁제품
경쟁제품,제품,비교,매콤한 잡채왕교자,품목,경쟁제품
경쟁제품,제품,비교,부추잡채만두,품목,경쟁제품
경쟁제품,제품,비교,납작지짐만두,품목,경쟁제품
경쟁제품,제품,비교,해물야채왕교자,품목,경쟁제품
경쟁제품,제품,비교,부추 물만두,품목,경쟁제품
경쟁제품,제품,비교,잡채왕교자,품목,경쟁제품
시장,지역,공통,UAE,국가,지역:UAE
유통채널,경로,공통,슈퍼마켓,속성,유통채널:슈퍼마켓
유통채널,경로,공통,온라인 쇼핑몰,속성,유통채널:온라인 쇼핑몰
마케팅,전략,공통,소셜 미디어,속성,전략:소셜 미디어 활용
경쟁기업,기업,경쟁,한국기업 3개사,기업,경쟁기업
경쟁기업,기업,업력,최소 43년 이상,속성,업력:최소 43년 이상
경쟁기업,제품수,공통,4개 또는 22개,속성,제품수:4개 또는 22개
원산지,국가,공통,한국,국가,원산지:한국
가격,금액,공통,약 5.73디르함(평균),속성,가격:약 5.73디르함
중량,무게,공통,평균 574.5g,속성,중량:평균 574.5g
포장,형태,공통,비닐 파우치,속성,포장:비닐 파우치
유통기한,기간,공통,18~24개월,속성,유통기한:18~24개월
인증,여부,공통,한국 비건인증기관,속성,인증:한국 비건인증기관
홍보,내용,공통,소셜 미디어 및 홈페이지 활용,속성,홍보:소셜 미디어 및 홈페이지 활용
