엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
2024년 1분기,시기,지출액,가구,가구,월평균지출액:82768
2024년 1분기,시기,증가율,가구,가구,지출액증가율:6.5
2024년 1분기,시기,실질금액,가구,가구,월평균실질지출액:68191
2024년 1분기,시기,증가율,가구,가구,실질지출액증가율:1.3
2024년 1분기,시기,지출액,가구,가구,월평균식품비:68191
2019년,시기,지출액,가구,가구,월평균식품비:9210
2024년 1분기,시기,지출액,가구,가구,월평균식품비:68191
2024년 1분기,시기,증가율,가구,가구,월평균식품비증가율:1.3
2024년 1분기,시기,지출액,가구,가구,월평균신선식품지출액:약수치
2024년 1분기,시기,지출액,가구,가구,월평균가공식품지출액:약수치
2024년 1분기,시기,지출액,가구,가구,월평균외식지출액:약수치
2024년 1분기,시기,비중,가구,가구,외식비지출비중:49.5
2019년,시기,비중,가구,가구,외식비지출비중:약수치
2024년 1분기,시기,비중증가,가구,가구,외식비지출비중증가:0.2
2024년 1분기,시기,지출액,가구,가구,월평균신선식품지출액:약수치
2024년 1분기,시기,지출액,가구,가구,월평균가공식품지출액:약수치
2024년 1분기,시기,지출액,가구,가구,월평균외식지출액:약수치
2024년 1분기,시기,증가율,가구,가구,가공식품지출액증가율:약수치
2024년 1분기,시기,증가율,가구,가구,외식지출액증가율:약수치
2024년 1분기,시기,지출액,가구,가구,월평균식품비,가구원수별
1인,가구원수,지출액,가구,가구,월평균식품비:약수치
2인,가구원수,지출액,가구,가구,월평균식품비:약수치
3인,가구원수,지출액,가구,가구,월평균식품비:약수치
4인,가구원수,지출액,가구,가구,월평균식품비:약수치
5인 이상,가구원수,지출액,가구,가구,월평균식품비:약수치
2019년,시기,지출액,품목,품목,지출액:약수치
2024년 1분기,시기,지출액,품목,품목,지출액:약수치
2024년 1분기,시기,증가율,품목,품목,지출액증가율:약수치
2024년 1분기,시기,지출액,품목,품목,지출액:식빵및기타빵
2024년 1분기,시기,지출액,품목,품목,지출액:한과및기타과자
2024년 1분기,시기,지출액,품목,품목,지출액:기타육류가공품
2024년 1분기,시기,지출액,품목,품목,지출액:즉석·동결식품
2024년 1분기,시기,지출액,품목,품목,지출액:우유
2024년 1분기,시기,지출액,품목,품목,지출액:반찬류
2024년 1분기,시기,지출액,품목,품목,지출액:맥주
2024년 1분기,시기,지출액,품목,품목,지출액:기타곡물가공품
2024년 1분기,시기,지출액,품목,품목,지출액:라면류
2024년 1분기,시기,지출액,품목,품목,지출액:커피
2024년 1분기,시기,지출액,품목,품목,지출액:기타음료
2024년 1분기,시기,지출액,품목,품목,지출액:떡
2024년 1분기,시기,지출액,품목,품목,지출액:요구르트
2024년 1분기,시기,지출액,품목,품목,지출액:과일가공품
2024년 1분기,시기,지출액,품목,품목,지출액:아이스크림
2024년 1분기,시기,지출액,품목,품목,지출액:케이크
2024년 1분기,시기,지출액,품목,품목,지출액:소주
2024년 1분기,시기,지출액,품목,품목,지출액:햄및베이컨
