엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
무인주문기,기기,활용,외식업체,업종,국가:대한민국;시기:2024년
외식업체,업종,이용,무인주문기,기기,국가:대한민국;시기:2024년
외식업체,업종,도입률,무인주문기,기기,국가:대한민국;시기:2023
무인주문기,기기,도입률,외식업체,업종,국가:대한민국;시기:2023
무인주문기,기기,도입률,프랜차이즈업체,업종,국가:대한민국;시기:2023
무인주문기,기기,도입률,비프랜차이즈업체,업종,국가:대한민국;시기:2023
무인주문기,기기,도입률,매출액규모:5억원이상,금액,국가:대한민국;시기:2023
무인주문기,기기,도입률,매출액규모:1억~5억원미만,금액,국가:대한민국;시기:2023
무인주문기,기기,도입률,매출액규모:5천만원~1억원미만,금액,국가:대한민국;시기:2023
무인주문기,기기,도입률,매출액규모:5천만원미만,금액,국가:대한민국;시기:2023
외식업체,업종,무인주문기사용,피자·햄버거·샌드위치및유사음식점,업종,국가:대한민국;시기:2023
외식업체,업종,무인주문기사용,기관구내식당,업종,국가:대한민국;시기:2023
외식업체,업종,무인주문기사용,제과점,업종,국가:대한민국;시기:2023
외식업체,업종,무인주문기사용,김밥및기타간이음식점,업종,국가:대한민국;시기:2023
외식업체,업종,무인주문기사용,간이음식포장판매전문점,업종,국가:대한민국;시기:2023
외식업체,업종,무인주문기사용,주점업,업종,국가:대한민국;시기:2023
외식업체,업종,무인주문기사용,비알코올음료점업,업종,국가:대한민국;시기:2023
