엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
식품제조업,업종,출하지수,2024년 1분기 식품제조업,업종,출하지수:97.7;시기:2024년 1분기
식품제조업,업종,생산자물가지수,2024년 1분기 식품제조업,업종,생산자물가지수:123.0;시기:2024년 1분기
식품제조업,업종,재고율,2024년 1분기 식품제조업,업종,재고율:101.2;시기:2024년 1분기
식품제조업,업종,재고순환지수,2024년 1분기 식품제조업,업종,재고순환지수:-6.6;시기:2024년 1분기
식품제조업,업종,취업자수,2024년 1분기 식품제조업,업종,취업자수:304559;시기:2024년 1분기
식품제조업,업종,상용직비율,2024년 1분기 식품제조업,업종,상용직비율:92.0;시기:2024년 1분기
식품제조업,업종,경기전망지수,2024년 2분기 식품제조업,업종,경기전망지수:104.9;시기:2024년 2분기
발효주업,업종,출고가인하효과,청주,품목,출고가인하효과:33원~343원;시기:2024년 2분기
발효주업,업종,기준판매비율,청주,품목,기준판매비율:23.2%;시기:2024년 1분기
발효주업,업종,수출액,국내발효주류,품목,수출액:20.2억달러;시기:2024년 1분기
국내기업,기업,생산규모및매출액,중·대규모식품기업,기업,생산규모및매출액:개선예상;시기:2024년 1분기
국내기업,기업,원자재구입가격,중·대규모식품기업,기업,원자재구입가격:129.7;시기:2024년 1분기
국내기업,기업,원자재구입가격,5인미만 소규모업체,기업,원자재구입가격:131.1;시기:2024년 1분기
