엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
식품제조업,업종,생산,통계자료,기관,시기:2025년1분기
육류가공,업종,생산,통계자료,기관,시기:2025년1분기
수산물가공,업종,생산,통계자료,기관,시기:2025년1분기
과채가공,업종,생산,통계자료,기관,시기:2025년1분기
유지,업종,생산,통계자료,기관,시기:2025년1분기
낙농품,업종,생산,통계자료,기관,시기:2025년1분기
곡물가공및전분,업종,생산,통계자료,기관,시기:2025년1분기
기타식품,업종,생산,통계자료,기관,시기:2025년1분기
사료및조제식품,업종,생산,통계자료,기관,시기:2025년1분기
음료,업종,생산,통계자료,기관,시기:2025년1분기
알콜음료,업종,생산,통계자료,기관,시기:2025년1분기
비알콜음료,업종,생산,통계자료,기관,시기:2025년1분기
K-Food+,수출,수출액,가공식품,품목,수출액:31.8억달러
농식품,수출,수출액,가공식품,품목,수출액:24.8억달러
스마트팜,기업,운영,농업,분야,시기:2025년1분기
농기자재,기업,운영,농업,분야,시기:2025년1분기
동물약품,기업,운영,농업,분야,시기:2025년1분기
수입,기관,수입액,가공식품,품목,수입액:41.2억달러
조제식료품,품목,수입,기관,수입액:6.7억달러
식용유지,품목,수입,기관,수입액:5.7억달러
조제사료,품목,수입,기관,수입액:5.4억달러
채소과실조제품,품목,수입,기관,수입액:3.9억달러
취업자수,기관,증가,식품제조업,업종,수:31500명
상용직비율,기관,유지,식품제조업,업종,비율:92.4%
원자재구입가격지수,기관,변동,식품산업,지수,수치:128.0
