엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
식품제조업,산업,생산,부가가치,지표,시기:2000~2019년;국가:한국
식품제조업,산업,고용,종사자수,지표,시기:2000~2019년;국가:한국
생산가능인구,인구,영향,식품제조업,산업,시기:2005~2010년;국가:한국
여성 노동참여율,인구,영향,식품제조업,산업,시기:전체기간;국가:한국
노동생산성 격차,생산구조,영향,식품제조업,산업,시기:전체기간;국가:한국
유형자산,자본,증가,식품제조업,산업,시기:2005~2019년;국가:한국
임금변화,경제,변화,식품제조업,산업,시기:전체기간;국가:한국
원재료비 변화,원자재,변화,식품제조업,산업,시기:전체기간;국가:한국
수출액,무역,증가,식품제조업,산업,시기:2000~2019년;국가:한국
수출액,무역,영향,고용,산업,시기:2000~2019년;국가:한국
생산구조변화,산업,변화,식품제조업,산업,시기:2000~2019년;국가:한국
고용구조변화,산업,변화,식품제조업,산업,시기:2000~2019년;국가:한국
시기,시간,구분,Phase I,기간,2000~2004년
시기,시간,구분,Phase II,기간,2005~2010년
시기,시간,구분,Phase III,기간,2011~2019년
수출액,무역,증가,수출시장,시장,시기:전체기간;국가:한국
수출액,무역,영향,고용,산업,시기:2000~2019년;국가:한국
여성 노동참여율,인구,증가,고용,산업,시기:전체기간;국가:한국
생산가능인구,인구,감소,식품제조업,산업,시기:2005~2010년;국가:한국
노동생산성 격차,생산구조,영향,식품제조업,산업,시기:전체기간;국가:한국
유형자산,자본,증가,식품제조업,산업,시기:2005~2019년;국가:한국
임금상승,경제,영향,고용,산업,시기:전체기간;국가:한국
원재료비,원자재,변화,식품제조업,산업,시기:전체기간;국가:한국
수출액,무역,증가,고용,산업,시기:2000~2019년;국가:한국
