엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,시장동향,참기름,품목,국가:중국;시기:2022년
미국,국가,시장동향,참기름,품목,국가:미국;시기:2022년
일본,국가,시장동향,참기름,품목,국가:일본;시기:2022년
참기름,품목,생산량,2017,연도,생산량:24495;시기:2017년
참기름,품목,생산량,2021,연도,생산량:31094;시기:2021년
참기름,품목,생산액,2017,연도,생산액:1790억;시기:2017년
참기름,품목,생산액,2021,연도,생산액:2392억;시기:2021년
참기름,품목,수출량,2017,연도,수출량:481;시기:2017년
참기름,품목,수출량,2021,연도,수출량:1120;시기:2021년
참기름,품목,수출액,2017,연도,수출액:410만;시기:2017년
참기름,품목,수출액,2021,연도,수출액:900만;시기:2021년
참기름,품목,수입량,2017,연도,수입량:687;시기:2017년
참기름,품목,수입량,2021,연도,수입량:728;시기:2021년
참기름,품목,수입액,2017,연도,수입액:240.8만;시기:2017년
참기름,품목,수입액,2021,연도,수입액:255만;시기:2021년
참기름,품목,수입단가,2017,연도,수입단가:3.5~4달러/kg
참기름,품목,수입단가,2021,연도,수입단가:3.51달러/kg
참기름,품목,시장점유율,2022년,연도,시장점유율:미국41.4%;중국46.0%;일본2.2%
들기름,품목,생산량,2017,연도,생산량:3433;시기:2017년
들기름,품목,생산량,2021,연도,생산량:4661;시기:2021년
들기름,품목,생산액,2017,연도,생산액:346.6억;시기:2017년
들기름,품목,생산액,2021,연도,생산액:613.6억;시기:2021년
들기름,품목,수출량,2017,연도,수출량:168;시기:2017년
들기름,품목,수출량,2021,연도,수출량:91;시기:2021년
들기름,품목,수출액,2017,연도,수출액:222만;시기:2017년
들기름,품목,수출액,2021,연도,수출액:156만;시기:2021년
들기름,품목,수입량,2017,연도,수입량:930;시기:2017년
들기름,품목,수입량,2021,연도,수입량:1029;시기:2021년
들기름,품목,수입액,2017,연도,수입액:265만;시기:2017년
들기름,품목,수입액,2021,연도,수입액:476만;시기:2021년
참기름,원료,국내생산면적,2017,연도,면적:29.7만ha
참기름,원료,국내생산면적,2022,연도,면적:22만ha
참기름,원료,국내생산량,2017,연도,생산량:14258톤
참기름,원료,국내생산량,2022,연도,생산량:11679톤
참기름,원료,수입량,2017,연도,수입량:75000톤
참기름,원료,수입량,2021,연도,수입량:87000톤
참기름,원료,수입액,2017,연도,수입액:1억 883만달러
참기름,원료,수입액,2021,연도,수입액:1억 5190만달러
들깨,원료,국내생산면적,2017,연도,면적:4.3만ha
들깨,원료,국내생산량,2017,연도,생산량:51,000톤
들깨,원료,수입량,2017,연도,수입량:24867톤
들깨,원료,수입량,2021,연도,수입량:15078톤
들깨,원료,수입액,2017,연도,수입액:36093만달러
들깨,원료,수입액,2021,연도,수입액:52995만달러
참기름,시장,시장규모,2022,연도,시장규모:4000억
들기름,시장,시장규모,2021,연도,시장규모:613억
참기름,시장,시장규모,2021,연도,시장규모:4000억
들기름,시장,시장규모,2021,연도,시장규모:613억
참기름,유통,유통채널,2021,연도,채널:대형마트33.4%;시장/방앗간19.4%;온라인26.5%
들기름,유통,유통채널,2021,연도,채널:주변인25.1%;시장/방앗간23.7%;대형마트19.9%
참기름,품질인증,인증번호,KSH2107,인증명,인증번호:KSH2107
들기름,품질인증,인증번호,KSH2181,인증명,인증번호:KSH2181
참기름,생산,생산방식,2022,연도,방식:압착,초임계추출
들기름,생산,생산방식,2022,연도,방식:압착,초임계추출
참기름,유통,수출국,2021,연도,국가:미국,수출량:538톤,수출액:약 373만달러
들기름,수출,수출국,2021,연도,국가:일본,수출량:36톤,수출액:약 75만달러
참기름,수입,수입국,2021,연도,국가:중국,수입량:497톤,수입액:164만달러
들기름,수입,수입국,2021,연도,국가:중국,수입량:900톤,수입액:약 396만달러
