엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,발효식초 생산량,중국,국가,생산량:약 40만톤(2020년)
이탈리아,국가,발사믹식초 수출액,이탈리아,국가,수출액:약 33.1백만달러(2021년)
일본,국가,식초시장,일본,국가,시장규모:약 41만톤(2019년)
중국,국가,식초시장,중국,국가,생산량:약 41만톤(2020년)
이탈리아,국가,식초수출,이탈리아,국가,수출량:약 12378톤(2021년)
일본,국가,식초수출,일본,국가,수출량:약 33135톤(2021년)
중국,국가,식초수입,중국,국가,수입량:약 1079톤(2021년)
이탈리아,국가,식초수입,이탈리아,국가,수입량:약 1195톤(2021년)
일본,국가,식초수입,일본,국가,수입량:약 875톤(2021년)
중국,국가,발효식초 생산량,중국,국가,생산량:약 46만톤(2021년)
이탈리아,국가,발사믹식초 수출액,이탈리아,국가,수출액:약 33.1백만달러(2021년)
일본,국가,식초시장,일본,국가,시장규모:약 41만톤(2019년)
중국,국가,식초시장,중국,국가,생산량:약 41만톤(2020년)
이탈리아,국가,발사믹식초,이탈리아,국가,품종:모데나,레지오에밀리아
일본,국가,식초,일본,국가,생산량:약 41만톤(2019년)
중국,국가,식초,중국,국가,생산량:약 41만톤(2020년)
이탈리아,국가,수출,이탈리아,국가,수출액:약 33.1백만달러(2021년)
일본,국가,수출,일본,국가,수출량:약 33135톤(2021년)
중국,국가,수출,중국,국가,수출량:약 1079톤(2021년)
이탈리아,국가,수입,이탈리아,국가,수입량:약 1195톤(2021년)
일본,국가,수입,일본,국가,수입량:약 875톤(2021년)
중국,국가,수입,중국,국가,수입량:약 1079톤(2021년)
이탈리아,국가,발효식초,이탈리아,국가,품종:모데나,레지오에밀리아
일본,국가,발효식초,일본,국가,품종:현미,감,과실
중국,국가,발효식초,중국,국가,품종:곡물,과실,보건형,음료형
이탈리아,국가,발사믹식초,이탈리아,국가,품종:모데나,레지오에밀리아
일본,국가,발효식초,일본,국가,품종:현미,감,과실
중국,국가,발효식초,중국,국가,품종:곡물,과실,보건형,음료형
이탈리아,국가,발사믹식초,이탈리아,국가,품종:모데나,레지오에밀리아
일본,국가,식초,일본,국가,생산량:약 41만톤
중국,국가,식초,중국,국가,생산량:약 41만톤
