엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
스낵류,품목,생산 및 유통,농심,기업,시장점유율:24.1%;수출액:1570만달러"
스낵류,품목,생산 및 유통,오리온,기업,시장점유율:24.1%;수출액:1570만달러"
스낵류,품목,생산 및 유통,크라운제과,기업,시장점유율:9.6%;수출액:1081만달러"
스낵류,품목,생산 및 유통,롯데웰푸드,기업,시장점유율:9.3%;수출액:1065만달러"
스낵류,품목,생산 및 유통,해태제과,기업,시장점유율:7.9%;수출액:878만달러"
스낵류,품목,수출,중국,국가,수출액:3210만달러;비중:44.8%"
스낵류,품목,수출,호주,국가,수출액:793만달러;비중:11.1%"
스낵류,품목,수출,일본,국가,수출액:653만달러;비중:9.1%"
스낵류,품목,수출,대만,국가,수출액:487만달러;비중:6.8%"
스낵류,품목,수입,중국,국가,수입액:868만달러;비중:22.9%"
스낵류,품목,수입,벨기에,국가,수입액:903만달러;비중:23.9%"
스낵류,품목,수입,미국,국가,수입액:781만달러;비중:20.6%"
스낵류,품목,수입,호주,국가,수입액:794만달러;비중:11.1%"
스낵류,품목,수입,일본,국가,수입액:632만달러;비중:16.7%"
스낵류,품목,유통채널,편의점,유통경로,비중:16.6%"
스낵류,품목,유통채널,대형마트,유통경로,비중:45.5%"
스낵류,품목,유통채널,온라인몰,유통경로,비중:5.3%"
스낵류,품목,시장규모,국내,시장,2022년:14460억 원;전년대비증가율:20.8%"
스낵류,품목,시장규모,글로벌,시장,2022년:2093억달러;전년대비증가율:9.4%"
스낵류,품목,시장전망,2023~2028년,연평균성장률,6.5%"
스낵류,품목,주요제품,감자칩,제품,시장점유율:21.1%"
스낵류,품목,주요제품,옥수수칩,제품,시장점유율:17.8%"
스낵류,품목,주요제품,쌀과자,제품,시장점유율:6.3%"
스낵류,품목,주요제품,견과류스낵,제품,시장점유율:12.9%"
스낵류,품목,주요제품,육류스낵,제품,시장점유율:7.2%"
스낵류,품목,주요제품,브레첼,제품,시장점유율:1.9%"
스낵류,품목,생산현황,국내,시장,2022년:약 1조 4460억 원;생산액,전년대비:29.9%"
스낵류,품목,생산현황,수입산,원료,비중:84.0%"
스낵류,품목,생산현황,국산,원료,비중:16.0%"
스낵류,품목,원료,감자,원료,사용량:4만846톤"
스낵류,품목,원료,옥수수,원료,사용량:약 1만6625톤"
스낵류,품목,원료,쌀,원료,사용량:약 9820톤"
스낵류,품목,원료,밀가루,원료,사용량:약 6만982톤"
스낵류,품목,원료,감자전분,원료,사용량:약 1만4878톤"
스낵류,품목,원료,옥수수전분,원료,사용량:약 2530톤"
스낵류,품목,원료,쌀가루,원료,사용량:약 795톤"
스낵류,품목,원료,밀가루,원료,사용량:약 6만982톤"
스낵류,품목,원료,감자,국산,사용량:약 4만846톤"
스낵류,품목,원료,옥수수,수입,사용량:약 1만6625톤"
스낵류,품목,원료,쌀,수입,사용량:약 9820톤"
스낵류,품목,원료,밀가루,수입,사용량:약 6만982톤"
스낵류,품목,원료,감자전분,수입,사용량:약 1만4878톤"
스낵류,품목,원료,옥수수전분,수입,사용량:약 2530톤"
스낵류,품목,원료,쌀가루,수입,사용량:약 795톤"
