엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
귀어무드,품목,포함,특수용도식품,품목,국가:한국;시기:2018~2022년
귀어무드,품목,포함,특수의료용도식품,품목,국가:한국;시기:2018~2022년
메디푸드,품목,시장규모,236억달러,금액,시기:2023년
고령친화식품,품목,시장규모,727억8천474만달러,금액,시기:2022년
고령친화식품,품목,시장규모,750억9952만8천달러,금액,시기:2028년
CJ프레시웨이,기업,운영,헬씨누리,브랜드,시기:2023년
현대그런푸드,기업,운영,그리팅,브랜드,시기:2023년
설리국,기업,설립,설리국,기업,시기:2023년
현대그런푸드,기업,출시,부티핏,제품,시기:2023년
현대그런푸드,기업,출시,프로린업,제품,시기:2023년
현대그런푸드,기업,출시,베지라이프,제품,시기:2023년
설리국,기업,설립,설리국,기업,시기:2023년
귀어푸드,품목,시장,구독서비스,서비스,시기:2023년
귀어푸드,품목,시장,육류연화기술,기술,시기:2023년
귀어푸드,품목,시장,완전 균형영양식,제품,시기:2023년
그리팅,기업,운영,그리팅X,서비스,시기:2023년
