엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
사과,품목,생산량전망,2025년,연도,시기:2025년
배,품목,생산량전망,2025년,연도,시기:2025년
포도,품목,생산량전망,2025년,연도,시기:2025년
복숭아,품목,생산량전망,2025년,연도,시기:2025년
사과,품목,월별도매가격,7월,월,단위:원/10kg
사과,품목,월별도매가격,8월,월,단위:원/10kg
사과,품목,월별도매가격,9월,월,단위:원/10kg
사과,품목,월별도매가격,10월,월,단위:원/10kg
사과,품목,월별도매가격,11월,월,단위:원/10kg
사과,품목,월별도매가격,12월,월,단위:원/10kg
배,품목,월별도매가격,8월,월,단위:원/15kg
배,품목,월별도매가격,9월,월,단위:원/15kg
배,품목,월별도매가격,10월,월,단위:원/15kg
배,품목,월별도매가격,11월,월,단위:원/15kg
배,품목,월별도매가격,12월,월,단위:원/15kg
포도,품목,월별도매가격,5월,월,단위:원/15kg
포도,품목,월별도매가격,6월,월,단위:원/15kg
포도,품목,월별도매가격,7월,월,단위:원/15kg
포도,품목,월별도매가격,8월,월,단위:원/15kg
포도,품목,월별도매가격,9월,월,단위:원/15kg
포도,품목,월별도매가격,10월,월,단위:원/15kg
복숭아,품목,월별도매가격,6월,월,단위:원/10kg
복숭아,품목,월별도매가격,7월,월,단위:원/10kg
복숭아,품목,월별도매가격,8월,월,단위:원/10kg
복숭아,품목,월별도매가격,9월,월,단위:원/10kg
사과,품목,생육상황,전년대비,속성:좋음|비슷|나쁨
배,품목,생육상황,전년대비,속성:좋음|비슷|나쁨
포도,품목,생육상황,전년대비,속성:좋음|비슷|나쁨
복숭아,품목,생육상황,전년대비,속성:좋음|비슷|나쁨
사과,품목,생산량,2025년,연도,시기:2025년
배,품목,생산량,2025년,연도,시기:2025년
포도,품목,생산량,2025년,연도,시기:2025년
복숭아,품목,생산량,2025년,연도,시기:2025년
사과,품목,수입량,파인애플,원,속성:수입량
사과,품목,수입량,망고,원,속성:수입량
사과,품목,수입량,자몽,원,속성:수입량
사과,품목,수입량,오렌지,원,속성:수입량
사과,품목,수입량,키위,원,속성:수입량
사과,품목,수입량,체리,원,속성:수입량
사과,품목,수입량,아보카도,원,속성:수입량
사과,품목,가격전년대비하락,사과,품목,속성:쓰가루
배,품목,가격전년대비하락,배,품목,속성:신고
감귤,품목,가격전년대비하락,감귤,품목,속성:하우스온주
캠벨얼리,품목,가격전년대비하락,캠벨얼리,품목,속성:3kg
포도,품목,가격전년대비하락,거봉,품목,속성:2kg
포도,품목,가격전년대비하락,샤인머스캣,품목,속성:2kg
선프레,품목,가격전년대비하락,선프레,품목,속성:10kg
복숭아,품목,가격전년대비하락,백도,품목,속성:4kg
복숭아,품목,가격전년대비하락,천도계,품목,속성:10kg
복숭아,품목,가격전년대비하락,유모계,품목,속성:4kg
