엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
푸드테크,산업,적용기술,인공지능,기술,시기:2023년;시기:2024년;시기:2030년;시기:2033년;시기:2034년;시기:2025년;시기:2026년;시기:2028년;시기:2025년 3월;시기:2024년 7월 28일
푸드테크,산업,적용기술,사물인터넷,기술,시기:2023년;시기:2024년;시기:2025년;시기:2026년;시기:2028년;시기:2024년 7월 12일
푸드테크,산업,적용기술,3D 프린팅,기술,시기:2023년;시기:2024년;시기:2025년;시기:2026년;시기:2028년
푸드테크,산업,적용기술,로봇,기술,시기:2023년;시기:2024년;시기:2025년;시기:2026년;시기:2028년;시기:2024년 7월 12일
푸드테크,산업,적용기술,바이오 기술,기술,시기:2023년;시기:2024년;시기:2025년;시기:2026년;시기:2028년
자율주행기술,기술,도입목적,배달 서비스,목적,시기:2023년 11월
자율주행기술,기술,구성요소,감지 시스템,구성요소,시기:2023년 이후
자율주행기술,기술,구성요소,중앙제어장치,구성요소,시기:2023년 이후
자율주행기술,기술,구성요소,액추에이터,구성요소,시기:2023년 이후
자율주행기술,기술,기능,단거리 배달,기능,시기:2023년 이후
자율주행기술,기술,기능,보행자 인식,기능,시기:2023년 이후
자율주행기술,기술,기능,충돌 방지,기능,시기:2023년 이후
자율주행기술,기술,단계,레벨 1,단계,시기:2023년
자율주행기술,기술,단계,레벨 2,단계,시기:2023년
자율주행기술,기술,단계,레벨 3,단계,시기:2023년
자율주행기술,기술,단계,레벨 4,단계,시기:2023년
자율주행기술,기술,단계,레벨 5,단계,시기:2023년
자율주행기술,기술,인증,운행안전인증,인증,시기:2023년 11월
자율주행기술,기술,인증,운행안전인증,인증,시기:2024년 10월
자율주행기술,기술,인증,운행안전인증,인증,시기:2024년 10월
인공지능,기술,적용분야,생산,분야,시기:2023년 이후
인공지능,기술,적용분야,유통,분야,시기:2023년 이후
인공지능,기술,적용분야,판매·마케팅,분야,시기:2023년 이후
인공지능,기술,적용분야,고객관리,분야,시기:2023년 이후
인공지능,기술,적용분야,식품산업,분야,시기:2023년 이후
인공지능,기술,적용기술,머신러닝,기술,시기:2023년 이후
인공지능,기술,적용기술,딥러닝,기술,시기:2011년~2020년
인공지능,기술,적용기술,생성형 AI,기술,시기:2011년~2020년
인공지능,기술,적용기술,인공신경망,기술,시기:1950~1970년대
인공지능,기술,적용기술,예측분석,기술,시기:2023년 이후
인공지능,기술,적용기술,추천시스템,기술,시기:2023년 이후
로봇,기술,적용분야,생산,분야,시기:2020년 이후
로봇,기술,적용분야,제조,분야,시기:2020년 이후
로봇,기술,적용분야,물류,분야,시기:2020년 이후
로봇,기술,적용분야,서비스,분야,시기:2020년 이후
로봇,기술,적용목적,생산성 향상,목적,시기:2020년 이후
로봇,기술,적용목적,품질 향상,목적,시기:2020년 이후
로봇,기술,적용목적,안전성 확보,목적,시기:2020년 이후
로봇,기술,적용목적,지속가능성,목적,시기:2020년 이후
바이오,기술,적용분야,농식품,분야,시기:2023년
바이오,기술,적용분야,생명공학,분야,시기:2023년
그린바이오,기술,적용분야,농업,분야,시기:2023년
그린바이오,기술,적용분야,생물농업,분야,시기:2023년
그린바이오,기술,적용분야,식품원료,분야,시기:2023년
그린바이오,기술,적용분야,대체단백질,분야,시기:2023년
그린바이오,기술,적용분야,배양육,분야,시기:2023년
그린바이오,기술,적용분야,농업생명자원,분야,시기:2023년
그린바이오,기술,적용분야,유전자변형작물,분야,시기:2023년
그린바이오,기술,적용분야,식물육종,분야,시기:2023년
그린바이오,기술,적용분야,종자개량,분야,시기:2023년
그린바이오,기술,적용분야,생물농약,분야,시기:2023년
그린바이오,기술,적용분야,비료,분야,시기:2023년
그린바이오,기술,적용분야,사료첨가제,분야,시기:2023년
그린바이오,기술,적용분야,동물용의약품,분야,시기:2023년
그린바이오,기술,적용분야,기능성식품,분야,시기:2023년
그린바이오,기술,적용분야,대체식품,분야,시기:2023년
그린바이오,기술,적용분야,배양육,분야,시기:2023년
그린바이오,기술,적용분야,생물활성화합물,분야,시기:2023년
그린바이오,기술,적용분야,생물농약,분야,시기:2023년
그린바이오,기술,적용분야,유전자변형작물,분야,시기:2023년
그린바이오,기술,적용분야,식물생장개선,분야,시기:2023년
그린바이오,기술,적용분야,종자품질개선,분야,시기:2023년
