엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,제공하는 규제,식품 첨가물,품목,국가:미국
식품 첨가물,품목,포함하는,직접 식품 첨가물,품목,
식품 첨가물,품목,포함하는,간접 식품 첨가물,품목,
식품 첨가물,품목,포함하는,식품 방사선 조사,절차,
식품 첨가물,품목,포함하는,식품 포장재,품목,
FDA,기업,승인하는,식품 첨가물,품목,
GRAS,속성,적용하는,물질,품목,속성:일반적으로 안전하다고 인정되는
GRAS,속성,판단하는,제조업체,기업,
GRAS,속성,통보하는,FDA,기관,
FDA,기관,제시하는,연방법 규정,법령,속성:21 CFR Part 172;21 CFR Part 181;21 CFR Part 182;21 CFR Part 184;21 CFR Part 175-178;21 CFR Part 73-74
색소 첨가물,품목,승인하는,FDA,기관,
색소 첨가물,품목,구분하는,배치 인증 면제 색소,품목,
색소 첨가물,품목,구분하는,배치 인증 요구 색소,품목,
FDA,기관,제시하는,색소 첨가물 목록,품목,
식품 첨가물,품목,규제하는,주별 조치,절차,
FDA,기관,재검토하는,기존 규제,절차,
식품,품목,위반하는,규정,법령,속성:위생적 안전성;정보 전달
FDA,기관,집행하는,수입 경보,조치,
FDA,기관,집행하는,수입 거절,조치,
FDA,기관,집행하는,Warning Notice,조치,
FDA,기관,집행하는,리콜,조치,
FDA,기관,집행하는,시장 철수,조치,
식품,품목,준수하는,라벨링,절차,
미국,국가,수출하는,국내 업체,기업,
국내 업체,기업,수출하는,미국,국가
