엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국산 연초류,품목,수출시장,아랍에미리트,국가,시기:2022년;시장규모:18620000달러
아랍에미리트,국가,수입,한국,국가,시기:2021;수입액:6809만달러
필립모리스인터내셔널,기업,시장점유율,아랍에미리트,국가,시기:2022;점유율:35.6
임페리얼브랜즈,기업,시장점유율,아랍에미리트,국가,시기:2022;점유율:29.8
KT&G,기업,시장점유율,아랍에미리트,국가,시기:2022;점유율:3.7
필립모리스인터내셔널,기업,브랜드 점유율,임페리얼브랜즈,브랜드,시기:2022;점유율:15.3
재팬토바코,기업,브랜드 점유율,윈스턴,브랜드,시기:2022;점유율:13.5
한국 KT&G,기업,브랜드,에쎄,브랜드,시기:2022;점유율:1.2
아랍에미리트,국가,유통채널,소매,유통채널,시기:2022;비중:94.3
아랍에미리트,국가,유통채널,서비스업,유통채널,시기:2022;비중:5.7
아랍에미리트,국가,세율,담배세,세목,시기:2022;세율:100%
아랍에미리트,국가,불법유통비중,연초류,속성,시기:2022;비율:42.6
일본,국가,시장규모,연초류,품목,시기:2022;시장규모:21366억달러
일본,국가,흡연율,전체,속성,시기:2022;비율:11.3
일본,국가,수입,궐련,품목,시기:2022;수입액:15739.8만달러
일본,국가,수입국,세르비아,국가,시기:2022;수입비중:32.9
일본,국가,수입국,대한민국,국가,시기:2022;수입비중:24.2
일본,국가,수입국,인도네시아,국가,시기:2022;수입비중:17.3
일본,국가,유통채널,소매,유통채널,시기:2022;비중:90.3
일본,국가,브랜드 점유율,재팬토바코,기업,시기:2022;점유율:58.3
일본,국가,브랜드 점유율,필립모리스인터내셔널,기업,시기:2022;점유율:22.8
일본,국가,브랜드 점유율,브리티시아메리칸토바코,기업,시기:2022;점유율:14.4
일본,국가,평균 단가,연초류,품목,시기:2022;단가:0.25달러
태국,국가,시장규모,연초류,품목,시기:2022;시장규모:3339백만달러
태국,국가,흡연율,전체,속성,시기:2022;비율:22.0
태국,국가,수입,궐련,품목,시기:2022;수입액:21762.5만달러
태국,국가,수입국,필리핀,국가,시기:2022;수입비중:42.2
태국,국가,수입국,대한민국,국가,시기:2022;수입비중:29.1
태국,국가,유통채널,소매,유통채널,시기:2022;비중:95.8
태국,국가,브랜드 점유율,필립모리스인터내셔널,기업,시기:2022;점유율:51.5
태국,국가,브랜드 점유율,태국담배전매청,기업,시기:2022;점유율:46.2
태국,국가,평균 단가,연초류,품목,시기:2022;단가:0.10달러
한국,국가,수입,궐련,품목,시기:2021;수입액:6804만달러
한국,국가,시장점유율,전국,속성,시기:2022;점유율:3.7
한국,국가,브랜드,에쎄,브랜드,시기:2022;가격:16~18디르함
한국,국가,흡연율,전체,속성,시기:2022;비율:23.6
한국,국가,연초류 소비액,개인,속성,시기:2022;액수:225.3달러
한국,국가,연초류 소비량,개인,속성,시기:2022;개비수:895개비
전자담배,품목,시장성장률,연평균,속성,시기:2018~2023;성장률:16.5%
전자담배,품목,평균 단가,개비당,속성,시기:2022;단가:0.33달러
전자담배,국가,시장규모,아랍에미리트,국가,시기:2023;시장규모:5938만달러
전자담배,국가,시장규모,일본,국가,시기:2022;시장규모:12억달러
전자담배,국가,시장규모,태국,국가,시기:2022;시장규모:5938만달러
