엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
전세계전자상거래시장,시장,규모,4280억달러,금액,시기:2020년
전세계전자상거래시장,시장,예상규모,6000억달러,금액,시기:2024년
온라인식품시장,시장,규모,1985억달러,금액,시기:2020년
온라인식품시장,시장,국가,한국,국가,시기:2020년
한국농식품,품목,입점,중국티몰,온라인몰,시기:2020년
한국농식품,품목,입점,동남아쇼피,온라인몰,시기:2021년
한국농식품,품목,입점,일본큐텐,온라인몰,시기:2021년
한국농식품,품목,전용판매관,중국산배|단감,품목,시기:2020년
한국농식품,품목,전용판매관,포도,품목,시기:2020년
한국농식품,품목,수출,딸기,품목,시기:2020년
한국농식품,품목,수출,포도,품목,시기:2020년
한국농식품,품목,수출,파프리카,품목,시기:2020년
한국농식품,품목,수출,김치,품목,시기:2020년
한국농식품,품목,수출,장류,품목,시기:2020년
한국농식품,품목,수출,인삼,품목,시기:2020년
한국농식품,품목,수출,발효식품,품목,시기:2020년
한국농식품,품목,수출,기능성식품,품목,시기:2020년
한국농식품,품목,수출,한식,품목,시기:2020년
한국농식품,품목,수출,비건김치,품목,시기:2020년
한국농식품,품목,수출,장류,품목,시기:2020년
한국농식품,품목,수출,인삼,품목,시기:2020년
한국농식품,품목,수출,기능성식품,품목,시기:2020년
한국농식품,품목,수출,한식문화,품목,시기:2020년
한국농식품,품목,수출,발효식품,품목,시기:2020년
한국농식품,품목,수출,농산물,품목,시기:2020년
한국농식품,품목,수출,과일,품목,시기:2020년
한국농식품,품목,수출,간편식,품목,시기:2020년
한국농식품,품목,수출,유기농식품,품목,시기:2020년
한국농식품,품목,수출,기능성식품,품목,시기:2020년
한국농식품,품목,수출,한류연계상품,품목,시기:2020년
한국농식품,품목,수출,온라인전용상품,품목,시기:2020년
한국농식품,품목,수출,비건식품,품목,시기:2020년
