엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국식품,품목,수출,유럽대형유통매장,유통매장,국가:유럽;시기:2022년
한국식품,품목,수출,영국유통매장,유통매장,국가:영국;시기:2022년
한국식품,품목,수출,프랑스유통매장,유통매장,국가:프랑스;시기:2022년
한국식품,품목,수출,독일유통매장,유통매장,국가:독일;시기:2022년
한국식품,품목,수출,네덜란드유통매장,유통매장,국가:네덜란드;시기:2022년
한국식품,품목,수출,스웨덴유통매장,유통매장,국가:스웨덴;시기:2022년
한국수출식품,품목,수출,유럽시장,시장,국가:유럽;시기:2022년
김치,품목,수출,유럽대형유통매장,유통매장,국가:유럽;시기:2022년
김치,품목,수출,영국유통매장,유통매장,국가:영국;시기:2022년
김치,품목,수출,프랑스유통매장,유통매장,국가:프랑스;시기:2022년
김치,품목,수출,독일유통매장,유통매장,국가:독일;시기:2022년
김치,품목,수출,네덜란드유통매장,유통매장,국가:네덜란드;시기:2022년
김치,품목,수출,스웨덴유통매장,유통매장,국가:스웨덴;시기:2022년
라면,품목,수출,유럽대형유통매장,유통매장,국가:유럽;시기:2022년
라면,품목,수출,영국유통매장,유통매장,국가:영국;시기:2022년
라면,품목,수출,프랑스유통매장,유통매장,국가:프랑스;시기:2022년
라면,품목,수출,독일유통매장,유통매장,국가:독일;시기:2022년
라면,품목,수출,네덜란드유통매장,유통매장,국가:네덜란드;시기:2022년
라면,품목,수출,스웨덴유통매장,유통매장,국가:스웨덴;시기:2022년
고추장,품목,수출,유럽대형유통매장,유통매장,국가:유럽;시기:2022년
고추장,품목,수출,영국유통매장,유통매장,국가:영국;시기:2022년
고추장,품목,수출,프랑스유통매장,유통매장,국가:프랑스;시기:2022년
고추장,품목,수출,독일유통매장,유통매장,국가:독일;시기:2022년
고추장,품목,수출,네덜란드유통매장,유통매장,국가:네덜란드;시기:2022년
고추장,품목,수출,스웨덴유통매장,유통매장,국가:스웨덴;시기:2022년
만두류,품목,수출,유럽대형유통매장,유통매장,국가:유럽;시기:2022년
만두류,품목,수출,영국유통매장,유통매장,국가:영국;시기:2022년
만두류,품목,수출,프랑스유통매장,유통매장,국가:프랑스;시기:2022년
만두류,품목,수출,독일유통매장,유통매장,국가:독일;시기:2022년
만두류,품목,수출,네덜란드유통매장,유통매장,국가:네덜란드;시기:2022년
주류,품목,수출,유럽대형유통매장,유통매장,국가:유럽;시기:2022년
주류,품목,수출,영국유통매장,유통매장,국가:영국;시기:2022년
주류,품목,수출,프랑스유통매장,유통매장,국가:프랑스;시기:2022년
주류,품목,수출,독일유통매장,유통매장,국가:독일;시기:2022년
주류,품목,수출,네덜란드유통매장,유통매장,국가:네덜란드;시기:2022년
한국수출식품,품목,수출,유럽시장,시장,국가:유럽;시기:2022년
