엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
대한민국,국가,수입국,유자 가공품,품목,수입현황:2019-2023
중국,국가,수입국,유자 가공품,품목,수입현황:2019-2023
브라질,국가,수입국,유자 가공품,품목,수입현황:2019-2023
일본,국가,수입국,유자 가공품,품목,수입현황:2019-2023
멕시코,국가,수입국,유자 가공품,품목,수입현황:2019-2023
대만,국가,수입국,유자 가공품,품목,수입현황:2019-2023
스페인,국가,수입국,유자 가공품,품목,수입현황:2019-2023
호주,국가,수입국,유자 가공품,품목,수입현황:2019-2023
프랑스,국가,수입국,유자 가공품,품목,수입현황:2019-2023
미국,국가,수입국,유자 가공품,품목,수입현황:2019-2023
한국,국가,원산지,유자차,품목,제품판매현황:2023
일본,국가,원산지,유자차,품목,제품판매현황:2023
대만,국가,원산지,유자차,품목,제품판매현황:2023
미국,국가,원산지,유자차,품목,제품판매현황:2023
한국,국가,원산지,유자차,품목,제품판매현황:2023
일본,국가,원산지,유자차,품목,제품판매현황:2023
대만,국가,원산지,유자차,품목,제품판매현황:2023
홍콩,국가,수입국,유자 가공품,품목,수입현황:2019-2023
베트남,국가,수입국,유자 가공품,품목,수입현황:2018-2022
일본,국가,수입국,유자 가공품,품목,수입현황:2019-2023
일본,국가,원산지,유자차,품목,제품판매현황:2023
한국,국가,원산지,유자차,품목,제품판매현황:2023
미국,국가,원산지,유자차,품목,제품판매현황:2023
중국,국가,원산지,유자차,품목,제품판매현황:2023
일본,국가,원산지,유자차,품목,제품판매현황:2023
홍콩,국가,수입국,유자 가공품,품목,수입현황:2019-2023
한국,국가,원산지,유자 가공품,품목,제품판매현황:2023
중국,국가,원산지,유자 가공품,품목,제품판매현황:2023
브라질,국가,원산지,유자 가공품,품목,제품판매현황:2023
스페인,국가,원산지,유자 가공품,품목,제품판매현황:2023
대만,국가,원산지,유자 가공품,품목,제품판매현황:2023
일본,국가,원산지,유자 가공품,품목,제품판매현황:2023
한국,국가,원산지,유자 가공품,품목,제품판매현황:2023
일본,국가,원산지,유자 가공품,품목,제품판매현황:2023
홍콩,국가,수입국,유자 가공품,품목,수입현황:2019-2023
한국,국가,원산지,유자 가공품,품목,제품판매현황:2023
중국,국가,원산지,유자 가공품,품목,제품판매현황:2023
스페인,국가,원산지,유자 가공품,품목,제품판매현황:2023
대만,국가,원산지,유자 가공품,품목,제품판매현황:2023
일본,국가,원산지,유자 가공품,품목,제품판매현황:2023
한국,국가,원산지,유자 가공품,품목,제품판매현황:2023
일본,국가,원산지,유자 가공품,품목,제품판매현황:2023
홍콩,국가,수입국,유자 가공품,품목,수입현황:2019-2023
한국,국가,원산지,유자 가공품,품목,제품판매현황:2023
중국,국가,원산지,유자 가공품,품목,제품판매현황:2023
브라질,국가,원산지,유자 가공품,품목,제품판매현황:2023
스페인,국가,원산지,유자 가공품,품목,제품판매현황:2023
대만,국가,원산지,유자 가공품,품목,제품판매현황:2023
일본,국가,원산지,유자 가공품,품목,제품판매현황:2023
한국,국가,원산지,유자 가공품,품목,제품판매현황:2023
일본,국가,원산지,유자 가공품,품목,제품판매현황:2023
