엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,할랄인증제도,국가,국가,시기:2024년 10월;시기:2024년 10월
인도네시아,국가,수입국,국가,국가,시기:2023년
인도네시아,국가,인구,국가,국가,시기:2023년 4월
인도네시아,국가,시장규모,국가,국가,시기:2023년
인도네시아,국가,글로벌이슬람경제지표,국가,국가,시기:2023년
인도네시아,국가,유통채널,유통채널,유형,시기:2023년
인도네시아,국가,할랄시장,시장,시장,시기:2023년
인도네시아,국가,수입품,품목,품목,시기:2023년
한국,국가,수출,국가,국가,시기:2023년
한국,국가,수출품목,품목,품목,시기:2023년
한국,국가,한국산 식품,품목,품목,시기:2023년
한국,국가,한국할랄인증원,기업,기업,시기:2023년
한국,국가,한국이슬람교,단체,단체,시기:2023년
한국,국가,한국산 식품,품목,품목,시기:2023년
한국,국가,한국산 김치,품목,품목,시기:2023년
한국,국가,한국산 라면,품목,품목,시기:2023년
한국,국가,한국산 음료,품목,품목,시기:2023년
한국,국가,한국산 장류,품목,품목,시기:2023년
한국,국가,한국산 과자류,품목,품목,시기:2023년
한국,국가,한국산 차류,품목,품목,시기:2023년
인도네시아,국가,유통채널,유통채널,유형,시기:2023년
인도네시아,국가,전통적 유통채널,유통채널,유형,시기:2023년
인도네시아,국가,현대적 유통채널,유통채널,유형,시기:2023년
인도네시아,국가,소규모 로컬 식료품점,유통채널,유형,시기:2023년
인도네시아,국가,온라인 채널,유통채널,유형,시기:2023년
한국,국가,한국산 식품,품목,품목,시기:2023년
한국,국가,한국산 김치,품목,품목,시기:2023년
한국,국가,한국산 라면,품목,품목,시기:2023년
한국,국가,한국산 음료,품목,품목,시기:2023년
한국,국가,한국산 장류,품목,품목,시기:2023년
