엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
일본,국가,생산,초피,품목,생산량:약 903톤(2018)
중국,국가,생산,초피,품목,생산량:약 460000톤(2018)
한국,국가,생산,초피,품목,생산량:약 7톤(2021)
일본,국가,유통,초피,품목,유통채널:백화점;슈퍼마켓;고급 식료품;수입식품;온라인
중국,국가,유통,초피,품목,유통채널:백화점;슈퍼마켓;온라인
한국,국가,유통,초피,품목,유통채널:백화점;슈퍼마켓;수입식품;온라인
일본,국가,수입,초피,품목,수입액:약 535만달러(17.3%)
중국,국가,수입,초피,품목,수입액:약 3859만달러(47.7%)
한국,국가,수입,초피,품목,수입액:약 20만달러(0.6%)
일본,국가,가격,초피,품목,단가:약 5.99달러/㎏
중국,국가,가격,초피,품목,단가:약 2.77달러/㎏
한국,국가,가격,초피,품목,단가:약 13달러/㎏
일본,국가,제품유형,초피,품목,유형:건조 통초피;분말;가공품
중국,국가,제품유형,초피,품목,유형:건조 통초피;분말
한국,국가,제품유형,초피,품목,유형:조림;초피 조림;삶은 초피
일본,국가,포장형태,초피,품목,포장:유리병;레토르트 파우치;종이상자
중국,국가,포장형태,초피,품목,포장:비닐포장;레토르트 파우치;유리병
한국,국가,포장형태,초피,품목,포장:비닐포장;비닐진공포장;종이포장
일본,국가,원산지,초피,품목,원산지:일본
중국,국가,원산지,초피,품목,원산지:중국
한국,국가,원산지,초피,품목,원산지:한국(일본 제조)
일본,국가,가격,초피,품목,가격:8333엔(500g);15000엔(500g);4980엔(200g)
중국,국가,가격,초피,품목,가격:159엔(10g);346엔(50g);380엔(50g);412엔(50g)
한국,국가,가격,초피,품목,가격:972엔(45g);594엔(50g)
일본,국가,특징,초피,품목,특징:매운맛 강; 다양한 제품 유형; 유통채널 다양
중국,국가,특징,초피,품목,특징:맵고 자극적; 건조·분말 위주; 가격 저렴
한국,국가,특징,초피,품목,특징:업무용 주로; 소매시장 낮은 인지도; 염장 제품 주로
일본,국가,생산지,초피,품목,생산지:와카야마현;효고현;다나베시
중국,국가,생산지,초피,품목,생산지:사천 지방;중국 전역
한국,국가,생산지,초피,품목,생산지:한국(일본 제조)
