엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
네덜란드,국가,수입처,파프리카,품목,수입량:6177
뉴질랜드,국가,수입처,파프리카,품목,수입량:3067
한국,국가,수입처,파프리카,품목,수입량:39761
한국,국가,생산지,파프리카,품목,생산면적:722
일본,국가,생산지,파프리카,품목,생산면적:81
일본,국가,수입처,파프리카,품목,수입량:32959
한국,기업,취급,파프리카,품목,취급처
유니언,기업,취급,파프리카,품목,
써니재팬,기업,취급,파프리카,품목,
H&F 인터내셔널,기업,취급,파프리카,품목,
위즈프로듀스,기업,취급,파프리카,품목,
한국 농협인터내셔널,기업,취급,파프리카,품목,
오아로,기업,취급,파프리카,품목,
이온,소매점,취급,한국산 파프리카,품목,
이온,소매점,취급,일본산 파프리카,품목,
이온,소매점,취급,파프리카,품목,
야오코,소매점,취급,한국산 파프리카,품목,
야오코,소매점,취급,일본산 파프리카,품목,
야오코,소매점,취급,파프리카,품목,
베르크,소매점,취급,일본산 파프리카,품목,
베르크,소매점,취급,한국산 파프리카,품목,
마루에츠,소매점,취급,한국산 파프리카,품목,
오케이,소매점,취급,한국산 파프리카,품목,
서밋,소매점,취급,한국산 파프리카,품목,
이온,양판점,취급,한국산 파프리카,품목,
이온,양판점,취급,일본산 파프리카,품목,
이온,양판점,취급,파프리카,품목,
야오코,양판점,취급,한국산 파프리카,품목,
야오코,양판점,취급,일본산 파프리카,품목,
야오코,양판점,취급,파프리카,품목,
가장 많이 생산하는 일본 산지,도도부현,생산량,미야기현,지역,1460톤
가장 많이 생산하는 일본 산지,도도부현,생산량,이바라키현,지역,1100톤
가장 많이 생산하는 일본 산지,도도부현,생산량,오이타현,지역,800톤
가장 많이 생산하는 일본 산지,도도부현,생산량,시즈오카현,지역,749톤
가장 많이 생산하는 일본 산지,도도부현,생산량,홋카이도,지역,608톤
가장 많이 생산하는 일본 산지,도도부현,생산량,오카야마현,지역,506톤
가장 많이 생산하는 일본 산지,도도부현,생산량,고치현,지역,402톤
일본,국가,생산지,파프리카,품목,생산량
미야기현,지역,생산량,1460톤,,
이바라키현,지역,생산량,1100톤,,
오이타현,지역,생산량,800톤,,
시즈오카현,지역,생산량,749톤,,
홋카이도,지역,생산량,608톤,,
오카야마현,지역,생산량,506톤,,
고치현,지역,생산량,402톤,,
한국,국가,생산지,파프리카,품목,생산면적
강원도,지역,생산기간,5월~12월,,
경상남도,지역,생산기간,11월~이듬해 6월,,
한국,국가,수출,파프리카,품목,
한국,국가,생산량,파프리카,품목,생산량:약 78,000톤
일본,국가,생산량,파프리카,품목,생산량:약 7,000톤
한국,국가,수입처,파프리카,품목,수입량
한국,국가,수입량,파프리카,품목,약 39761톤 (2018년 기준)
네덜란드,국가,수입처,파프리카,품목,수입량
네덜란드,국가,수입처,파프리카,품목,약 3067톤 (2018년 기준)
뉴질랜드,국가,수입처,파프리카,품목,약 2949톤 (2018년 기준)
한국,국가,수입처,파프리카,품목,약 31114톤 (2018년 기준)
한국,국가,수입처,파프리카,품목,약 35150톤 (2019년)
한국,국가,수입처,파프리카,품목,약 30143톤 (2020년)
한국,국가,수입처,파프리카,품목,약 27253톤 (2021년)
한국,국가,수입처,파프리카,품목,약 26613톤 (2022년)
한국,국가,수입처,파프리카,품목,약 21538톤 (2023년)
한국,국가,수입처,파프리카,품목,수입량:약 39761톤 (2018년 기준)
한국,국가,수입처,파프리카,품목,수입량:약 42592톤 (2019년)
한국,국가,수입처,파프리카,품목,수입량:약 36804톤 (2020년)
한국,국가,수입처,파프리카,품목,수입량:약 32959톤 (2021년)
한국,국가,수입처,파프리카,품목,수입량:약 28763톤 (2022년)
한국,국가,수입처,파프리카,품목,수입량:약 25027톤 (2023년)
일본,국가,생산량,파프리카,품목,약 7000톤 (2022년 기준)
한국,국가,생산량,파프리카,품목,약 78000톤 (2023년 기준)
한국,국가,생산지,파프리카,품목,강원도,경상남도
한국,국가,생산기간,5월~12월,,
한국,국가,생산기간,11월~이듬해 6월,,
한국,국가,생산량,파프리카,품목,생산량:약 78,000톤
일본,국가,생산량,파프리카,품목,약 7,000톤
한국,국가,수입처,파프리카,품목,수입량
한국,국가,수입량,파프리카,품목,약 39761톤 (2018년 기준)
네덜란드,국가,수입처,파프리카,품목,수입량
네덜란드,국가,수입처,파프리카,품목,약 3067톤 (2018년 기준)
뉴질랜드,국가,수입처,파프리카,품목,약 2949톤 (2018년 기준)
한국,국가,수입처,파프리카,품목,약 31114톤 (2018년 기준)
한국,국가,수입처,파프리카,품목,약 35150톤 (2019년)
한국,국가,수입처,파프리카,품목,약 30143톤 (2020년)
한국,국가,수입처,파프리카,품목,약 27253톤 (2021년)
한국,국가,수입처,파프리카,품목,약 26613톤 (2022년)
한국,국가,수입처,파프리카,품목,약 21538톤 (2023년)
한국,국가,수입처,파프리카,품목,수입량:약 39761톤 (2018년 기준)
한국,국가,수입처,파프리카,품목,수입량:약 42592톤 (2019년)
한국,국가,수입처,파프리카,품목,수입량:약 36804톤 (2020년)
한국,국가,수입처,파프리카,품목,수입량:약 32959톤 (2021년)
한국,국가,수입처,파프리카,품목,수입량:약 28763톤 (2022년)
한국,국가,수입처,파프리카,품목,수입량:약 25027톤 (2023년)
일본,국가,생산량,파프리카,품목,약 7000톤 (2022년 기준)
한국,국가,생산량,파프리카,품목,약 78000톤 (2023년 기준)
