엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"귀리",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"메밀",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"밀",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"옥수수",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"수수",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"쌀",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"아마란스",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"옥수수",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"율무",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"조",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"퀴노아",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"트리티케일",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"피",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"호밀",품목,포함,곡류,품목,국가:중국;시기:2023년 8월
"감자",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"고구마",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"곤약",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"마",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"마카",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"야콘",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"카사바",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"토란",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"강낭콩",품목,포함,두류,품목,국가:중국;시기:2023년 8월
"녹두",품목,포함,두류,품목,국가:중국;시기:2023년 8월
"대두",품목,포함,두류,품목,국가:중국;시기:2023년 8월
"렌즈콩",품목,포함,두류,품목,국가:중국;시기:2023년 8월
"완두",품목,포함,두류,품목,국가:중국;시기:2023년 8월
"팥",품목,포함,두류,품목,국가:중국;시기:2023년 8월
"땅콩",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"개암",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"도토리",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"마카다미아",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"밤",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"브라질넛",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"아몬드",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"은행",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"잣",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"케슈너트",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"피스타치오",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"피칸",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"호두",품목,포함,견과종실류,품목,국가:중국;시기:2023년 8월
"감초",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"생강",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"생강(건조)",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"생강(말린)",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"생강(생)",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"생강(건조)",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"호깨나무",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"구기자",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"치자",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"사인",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"반대해",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"복령",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"시트론",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"향유",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"도인",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"뽕잎",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"오디",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"귤홍",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"도라지",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"익지인",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"연잎",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"내복자",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"연밥",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"고량강",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"담죽엽",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"담두시",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"국화",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"엔다이브",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"황개자",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"황정",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"자소",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"자소씨",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"갈근",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"검은깨",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"흑후추",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"괴미",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"괴화",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"포공영",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"벌꿀",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"비자",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"산조인",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"생백모근",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"생노근",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"살무사",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"귤피",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"박하",품목,포함,서류,품목,국가:중국;시기:2023년 8월
"의이인",품목,포함,서류,품목,국가:중국;시기:2023년 8월
