엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국,국가,수출국,홍콩,국가,수출검역협상 타결 2023년 8월 기준
한국,국가,수출국,말레이시아,국가,수출검역협상 타결 2022년 11월 재개
한국,기업,수출,롯데웰푸드,기업,수출작업장 등록 1개소(2023년 8월 기준)
한국,기업,수출,하남돼지집,기업,쿠알라룸푸르 매장 개소 2021년
한국,품목,수출,돈육,품목,수출 가능 품목: 돈육 및 돈육 부산물, 햄·소시지, 육포, 식육가공품
한국,품목,수입,멸균 돈육가공품,품목,수입 재개 2022년 11월
한국,품목,수출,돈육가공품,품목,수출 품목: 멸균 돈육가공품
홍콩,국가,수입,중국,국가,수입 비중 32.6%
홍콩,국가,수입,브라질,국가,수입 비중 25.7%
홍콩,국가,수입,스페인,국가,수입 비중 5.0%
홍콩,국가,수입,미국,국가,수입 비중 0.7%
홍콩,국가,수입,일본,국가,수입 비중 1.9%
홍콩,국가,수입,한국,국가,수입 비중 1.0%
홍콩,품목,수입,돈육,품목,주요 수입품목: 신선·냉장·냉동 돈육
홍콩,품목,수입,돈육가공품,품목,주요 수입품목: 기타 돈육가공품
홍콩,품목,수입,식용설육,품목,주요 수입품목: 냉동 식용설육
말레이시아,국가,수입,돈육,국가,수입액 2022년 1억746만 9000달러
말레이시아,국가,수입,돈육가공품,국가,수입액 809만 4000달러
말레이시아,품목,수입,신선·냉장·냉동 돈육,품목,수입 비중 91.3%
말레이시아,품목,수입,돈육가공품,품목,수입 비중 7.5%
말레이시아,품목,수입,식용설육,품목,수입 비중 0.7%
말레이시아,품목,수입,돈육가공품,품목,수입 비중 0.3%
홍콩,시장,소비,1인당 연간 돈육 소비량,시장,55.2kg(2022년)
홍콩,시장,소비,돈육 소비량,시장,2020년 10.1% 증가
홍콩,시장,생산,돈육,시장,생산량 13만 3860톤(2021년)
홍콩,시장,생산,신선·냉장 돈육,시장,생산량 12만톤(2021년)
홍콩,시장,생산,돼지 지방,시장,생산량 3.4%
홍콩,시장,생산,식용설육,시장,생산량 7.0%
홍콩,시장,생산,라드,시장,생산량 미집계
홍콩,시장,수입,돈육,시장,2022년 수입액 8억7911만 8000달러
홍콩,시장,수입,신선·냉장·냉동 돈육,시장,70.2% 비중
홍콩,시장,수입,기타 돈육가공품,시장,16.7% 비중
홍콩,시장,수입,냉동 식용설육,시장,7.9% 비중
홍콩,시장,수입,돈육가공품,시장,5.1% 비중
말레이시아,시장,소비,1인당 연간 돈육 소비량,시장,5.2kg(2022년)
말레이시아,시장,소비,돈육 소비량,시장,2018년 이후 유지
말레이시아,시장,수입,돈육,시장,2022년 1억746만 9000달러
말레이시아,시장,수입,돈육가공품,시장,809만 4000달러
말레이시아,시장,생산,돈육,시장,2021년 24만 8950톤
말레이시아,시장,생산,신선·냉장 돈육,시장,생산량 21만 9180톤
말레이시아,시장,생산,돼지 지방,시장,생산량 9.5%
말레이시아,시장,생산,식용설육,시장,생산량 2.5%
말레이시아,시장,수입,돈육,시장,2022년 1억746만 9000달러
말레이시아,시장,수입,돈육가공품,시장,809만 4000달러
