엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
세계보건기구,기관,권고,회원국,국가,시기:2023년
미국,국가,규제 대상,부분경화유,식품첨가물,시기:2021
미국,국가,금지,부분경화유,식품첨가물,시기:2021
캐나다,국가,금지,부분경화유,식품첨가물,시기:2018
대만,국가,금지,부분경화유,식품첨가물,시기:2018
태국,국가,금지,부분경화유,식품첨가물,시기:2019
싱가포르,국가,금지,부분경화유,식품첨가물,시기:2021
필리핀,국가,금지,부분경화유,식품첨가물,시기:2023.06
홍콩,국가,금지,부분경화유,식품첨가물,시기:2023.12
멕시코,국가,경고 라벨,포장식품,식품,시기:2020
콜롬비아,국가,경고 라벨,포장식품,식품,시기:2024
사우디아라비아,국가,금지,부분경화유,식품첨가물,시기:2020
아랍에미리트,국가,규제,부분경화유,식품첨가물,시기:2030
미국,국가,금지,트랜스지방,식품첨가물,시기:2021
캐나다,국가,금지,트랜스지방,식품첨가물,시기:2018
대만,국가,금지,트랜스지방,식품첨가물,시기:2018
태국,국가,금지,트랜스지방,식품첨가물,시기:2019
싱가포르,국가,금지,트랜스지방,식품첨가물,시기:2021
필리핀,국가,금지,트랜스지방,식품첨가물,시기:2023.06
홍콩,국가,금지,트랜스지방,식품첨가물,시기:2023.12
멕시코,국가,경고 라벨,포장식품,식품,시기:2020
콜롬비아,국가,경고 라벨,포장식품,식품,시기:2024
사우디아라비아,국가,금지,트랜스지방,식품첨가물,시기:2020
아랍에미리트,국가,규제,트랜스지방,식품첨가물,시기:2030
미국,국가,금지,트랜스지방,부분경화유,시기:2021
캐나다,국가,금지,트랜스지방,부분경화유,시기:2018
대만,국가,금지,트랜스지방,부분경화유,시기:2018
태국,국가,금지,트랜스지방,부분경화유,시기:2019
싱가포르,국가,금지,트랜스지방,부분경화유,시기:2021
필리핀,국가,금지,트랜스지방,부분경화유,시기:2023.06
홍콩,국가,금지,트랜스지방,부분경화유,시기:2023.12
멕시코,국가,경고 라벨,포장식품,식품,시기:2020
콜롬비아,국가,경고 라벨,포장식품,식품,시기:2024
사우디아라비아,국가,금지,트랜스지방,부분경화유,시기:2020
아랍에미리트,국가,규제,트랜스지방,부분경화유,시기:2030
