엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
Blackmores,기업,제조,Marine Collagen Absolute,제품,성분:가수분해 콜라겐;함유:루테인;포도씨추출물;홀셀추출물;아연
Blackmores,기업,제조,Omega Triple Daily,제품,성분: DHA 360mg;EPA 540mg
Blackmores,기업,제조,Bio C Acerola,제품,성분:천연 로즈힙 추출물;아세로라 체리 워터 파우더
Blackmores,기업,제조,Probiotics+Daily Balance,제품,성분:유산균 12종;저당:0g;칼로리:15kcal
Blackmores,기업,제조,Probiotics+Daily Balance,제품,기능:면역력 강화;장 건강
Blackmores,기업,제조,Most Popular Products,제품,홍삼;유산균;비타민
Blackmores,기업,제조,홍삼 농축액,제품,특징:6년근 홍삼;면역력 증진
Blackmores,기업,제조,홍삼 캡슐,제품,특징:홍삼 농축액 분말;휴대 간편
Blackmores,기업,제조,홍삼,제품,유효성분:홍삼 유효성분 함유
Blackmores,기업,제조,홍삼,제품,포장:스틱 파우치, 캡슐
Blackmores,기업,제조,홍삼,제품,효능:면역력 증진
Blackmores,기업,제조,홍삼,제품,유통경로:온라인, 오프라인
Blackmores,기업,제조,홍삼,제품,시장:태국
Blackmores,기업,제조,홍삼,제품,시장점유율:높음
Blackmores,기업,제조,홍삼,제품,시장 성장률:연평균 성장
Blackmores,기업,제조,홍삼,제품,시장규모:수출액,수입액
Blackmores,기업,제조,홍삼,제품,시장규모,2023년 수출액:약 1.39백만달러
Blackmores,기업,제조,홍삼,제품,시장규모,2023년 수입액:약 192백만달러
Blackmores,기업,제조,홍삼,제품,시장점유율:높음
Blackmores,기업,제조,홍삼,제품,시장전망:성장 기대
Blackmores,기업,제조,홍삼,제품,포장:유리병, 캡슐
Blackmores,기업,제조,홍삼,제품,효과:면역력 증진
Blackmores,기업,제조,홍삼,제품,특징:유효성분 함유, 간편 섭취
Blackmores,기업,제조,홍삼,제품,유통경로:온라인, 오프라인
Blackmores,기업,제조,홍삼,제품,시장:태국
Blackmores,기업,제조,홍삼,제품,시장점유율:높음
Blackmores,기업,제조,홍삼,제품,시장 성장률:연평균 성장
Blackmores,기업,제조,홍삼,제품,시장규모:수출액,수입액
Blackmores,기업,제조,홍삼,제품,시장규모,2023년 수출액:약 1.39백만달러
Blackmores,기업,제조,홍삼,제품,시장규모,2023년 수입액:약 192백만달러
Blackmores,기업,제조,홍삼,제품,시장점유율:높음
Blackmores,기업,제조,홍삼,제품,시장전망:성장 기대
Blackmores,기업,제조,홍삼,제품,포장:스틱 파우치, 캡슐
Blackmores,기업,제조,홍삼,제품,효과:면역력 증진
Blackmores,기업,제조,홍삼,제품,특징:유효성분 함유, 간편 섭취
Blackmores,기업,제조,홍삼,제품,유통경로:온라인, 오프라인
Blackmores,기업,제조,홍삼,제품,시장:태국
Blackmores,기업,제조,홍삼,제품,시장점유율:높음
Blackmores,기업,제조,홍삼,제품,시장전망:성장 기대
Blackmores,기업,제조,홍삼,제품,포장:스틱 파우치, 캡슐
Blackmores,기업,제조,홍삼,제품,효과:면역력 증진
Blackmores,기업,제조,홍삼,제품,특징:유효성분 함유, 간편 섭취
Blackmores,기업,제조,홍삼,제품,유통경로:온라인, 오프라인
Blackmores,기업,제조,홍삼,제품,시장:태국
Blackmores,기업,제조,홍삼,제품,시장점유율:높음
Blackmores,기업,제조,홍삼,제품,시장전망:성장 기대
