엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,시장규모,음료시장,시장,시기:2022;규모:3792억달러
한국,국가,수출액,미국,국가,수출액:8045만달러;시기:2022
미국,국가,수입액,한국,국가,수입액:1억3423만달러;시기:2022
미국,국가,수입액,멕시코,국가,수입액:7억6063만달러;시기:2022
미국,국가,수입액,중국,국가,수입액:2억4670만달러;시기:2022
미국,국가,수입액,브라질,국가,수입액:6억392만달러;시기:2022
미국,국가,수입액,일본,국가,수입액:약 1억 4천만달러;시기:2022
미국,국가,수입액,대만,국가,수입액:약 1억 2천만달러;시기:2022
미국,국가,수입액,태국,국가,수입액:약 2억 7천만달러;시기:2022
미국,국가,수입액,스위스,국가,수입액:약 5억달러;시기:2022
미국,국가,수입액,이탈리아,국가,수입액:약 1억 7천만달러;시기:2022
미국,국가,수입액,캐나다,국가,수입액:약 4억달러;시기:2022
미국,국가,수입액,한국,국가,수입액:약 1억 3천달러;시기:2022
미국,국가,수입액,멕시코,국가,수입액:약 7억달러;시기:2022
미국,국가,수입액,브라질,국가,수입액:약 6억달러;시기:2022
미국,국가,수입액,중국,국가,수입액:약 2억 3천달러;시기:2022
미국,국가,수입액,대만,국가,수입액:약 1억 5천달러;시기:2022
미국,국가,수입액,태국,국가,수입액:약 2억 7천달러;시기:2022
미국,국가,수입액,스위스,국가,수입액:약 5억달러;시기:2022
미국,국가,수입액,이탈리아,국가,수입액:약 1억 7천달러;시기:2022
미국,국가,수입액,한국,국가,수입액:약 1억 3천달러;시기:2022
미국,국가,수입액,멕시코,국가,수입액:약 7억달러;시기:2022
미국,국가,수입액,브라질,국가,수입액:약 6억달러;시기:2022
미국,국가,수입액,중국,국가,수입액:약 2억 3천달러;시기:2022
미국,국가,수입액,대만,국가,수입액:약 1억 5천달러;시기:2022
미국,국가,수입액,태국,국가,수입액:약 2억 7천달러;시기:2022
미국,국가,수입액,스위스,국가,수입액:약 5억달러;시기:2022
미국,국가,수입액,이탈리아,국가,수입액:약 1억 7천달러;시기:2022
미국,국가,수입액,한국,국가,수입액:약 1억 3천달러;시기:2022
한국,국가,수출액,미국,국가,수출액:약 8045만달러;시기:2022
한국,국가,수출품목,HS Code 2202,품목명,설탕·감미료·맛·향이 첨가된 물
한국,국가,수출품목,HS Code 2106,품목명,음료 베이스
한국,국가,수출품목,HS Code 2201,품목명,물
한국,국가,수출액,미국,국가,수출액:약 8045만달러;시기:2022
미국,국가,수입액,한국,국가,수입액:약 1억 3423만달러;시기:2022
미국,국가,수입액,멕시코,국가,수입액:약 7억 6063만달러;시기:2022
미국,국가,수입액,중국,국가,수입액:약 2억 4670만달러;시기:2022
미국,국가,수입액,브라질,국가,수입액:약 6억 392만달러;시기:2022
미국,국가,수입액,일본,국가,수입액:약 1억 4천만달러;시기:2022
미국,국가,수입액,대만,국가,수입액:약 1억 2천만달러;시기:2022
미국,국가,수입액,태국,국가,수입액:약 2억 7천만달러;시기:2022
미국,국가,수입액,스위스,국가,수입액:약 5억달러;시기:2022
미국,국가,수입액,이탈리아,국가,수입액:약 1억 7천만달러;시기:2022
미국,국가,수입액,캐나다,국가,수입액:약 4억달러;시기:2022
미국,국가,수입액,한국,국가,수입액:약 1억 3천달러;시기:2022
한국,국가,수출액,미국,국가,수출액:약 8045만달러;시기:2022
한국,국가,수출품목,HS Code 2202,품목명,설탕·감미료·맛·향이 첨가된 물
한국,국가,수출품목,HS Code 2106,품목명,음료 베이스
한국,국가,수출품목,HS Code 2201,품목명,물
한국,국가,수출액,미국,국가,수출액:약 8045만달러;시기:2022
미국,국가,수입액,한국,국가,수입액:약 1억 3423만달러;시기:2022
미국,국가,수입액,멕시코,국가,수입액:약 7억 6063만달러;시기:2022
미국,국가,수입액,중국,국가,수입액:약 2억 4670만달러;시기:2022
미국,국가,수입액,브라질,국가,수입액:약 6억 392만달러;시기:2022
미국,국가,수입액,일본,국가,수입액:약 1억 4천만달러;시기:2022
미국,국가,수입액,대만,국가,수입액:약 1억 2천만달러;시기:2022
미국,국가,수입액,태국,국가,수입액:약 2억 7천만달러;시기:2022
미국,국가,수입액,스위스,국가,수입액:약 5억달러;시기:2022
미국,국가,수입액,이탈리아,국가,수입액:약 1억 7천만달러;시기:2022
미국,국가,수입액,캐나다,국가,수입액:약 4억달러;시기:2022
미국,국가,수입액,한국,국가,수입액:약 1억 3천달러;시기:2022
