엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,시장동향,,,"국가:호주;시기:2024년 5월"
대체식품,품목,시장규모,호주,국가,시장규모:약 81억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 27.5백만 호주달러;시기:2023
대체식품,품목,시장성장률,호주,국가,연평균성장률:6.8%
대체식품,품목,시장성장률,호주,국가,연평균성장률:6.8%
대체식품,품목,시장규모,호주,국가,시장규모:약 110조7700억 원;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 139조7925억 원;시기:2028
대체식품,품목,시장규모,호주,국가,시장규모:약 6억 원;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 464억 원;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 582억 원;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 1조 346억 원;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 1조 117억 원;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 1조 346억 원;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 1조 117억 원;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 27억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 42억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 49억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 27억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 42억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 49억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 27억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 42억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 49억 달러;시기:2023
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
대체식품,품목,시장규모,호주,국가,시장규모:약 68억 달러;시기:2024
