,산지조합,위판장,어종명,어종상태,region,city,농장수
0,경인서부수협,연안위판장(옹진),고둥,활어,인천광역시,미추홀구,2
1,경인서부수협,연안위판장(옹진),돌게,활어,인천광역시,미추홀구,4
2,경인서부수협,연안위판장(옹진),숫꽃게,활어,인천광역시,미추홀구,39
3,경인서부수협,연안위판장(옹진),암꽃게,활어,인천광역시,미추홀구,44
4,경인서부수협,연안위판장(옹진),꽃게발,선어,인천광역시,미추홀구,10
5,경인서부수협,연안위판장(옹진),암꽃게,선어,인천광역시,미추홀구,15
6,경인서부수협,연안위판장(옹진),숫꽃게,선어,인천광역시,미추홀구,18
7,경인서부수협,연안위판장(옹진),갈색띠매물고둥,활어,인천광역시,미추홀구,4
8,경인서부수협,연안위판장(옹진),피뿔고둥 中,활어,인천광역시,미추홀구,2
9,경인서부수협,연안위판장(옹진),피뿔고둥 大,활어,인천광역시,미추홀구,4
10,경인서부수협,연안위판장(옹진),피뿔고둥 小,활어,인천광역시,미추홀구,6
11,경기수협,궁평항사업소,가오리류,활어,경기도,화성시,1
12,경기수협,궁평항사업소,돌게,활어,경기도,화성시,1
13,경기수협,궁평항사업소,맛조개,활어,경기도,화성시,1
14,경기수협,궁평항사업소,소라,활어,경기도,화성시,10
15,경기수협,궁평항사업소,붕장어,활어,경기도,화성시,1
16,경기수협,궁평항사업소,우럭,활어,경기도,화성시,1
17,경기수협,궁평항사업소,갱소라,활어,경기도,화성시,1
18,경기수협,궁평항사업소,갈색띠매물고둥,활어,경기도,화성시,1
19,강원고성군수협,판매과,기타새우,활어,강원도,고성군,2
20,강원고성군수협,판매과,미역치,활어,강원도,고성군,3
21,강원고성군수협,판매과,방어,활어,강원도,고성군,1
22,강원고성군수협,판매과,부시리[히라스],활어,강원도,고성군,1
23,강원고성군수협,판매과,넙치,활어,강원도,고성군,5
24,강원고성군수협,판매과,문어,활어,강원도,고성군,87
25,강원고성군수협,판매과,볼락,활어,강원도,고성군,1
26,강원고성군수협,판매과,오징어류,활어,강원도,고성군,4
27,강원고성군수협,판매과,망치고등어류,선어,강원도,고성군,2
28,강원고성군수협,판매과,털게,선어,강원도,고성군,1
